problem_name,vehicle_number,vehicle_capacity,total_customers,total_demand,depot_x,depot_y,duration
C1_4_1,100,200,400,7190,100,100,1586
C1_4_10,100,200,400,7190,100,100,1586
C1_4_2,100,200,400,7190,100,100,1586
C1_4_3,100,200,400,7190,100,100,1586
C1_4_4,100,200,400,7190,100,100,1586
C1_4_5,100,200,400,7190,100,100,1586
C1_4_6,100,200,400,7190,100,100,1586
C1_4_7,100,200,400,7190,100,100,1586
C1_4_8,100,200,400,7190,100,100,1560
C1_4_9,100,200,400,7190,100,100,1586
C2_4_1,100,700,400,7560,100,100,3764
C2_4_10,100,700,400,7560,100,100,3780
C2_4_2,100,700,400,7560,100,100,3762
C2_4_3,100,700,400,7560,100,100,3816
C2_4_4,100,700,400,7560,100,100,3776
C2_4_5,100,700,400,7560,100,100,3700
C2_4_6,100,700,400,7560,100,100,3670
C2_4_7,100,700,400,7560,100,100,3751
C2_4_8,100,700,400,7560,100,100,3752
C2_4_9,100,700,400,7560,100,100,3752
R1_4_1,100,200,400,7109,100,100,833
R1_4_10,100,200,400,7109,100,100,791
R1_4_2,100,200,400,7109,100,100,835
R1_4_3,100,200,400,7109,100,100,855
R1_4_4,100,200,400,7109,100,100,857
R1_4_5,100,200,400,7109,100,100,806
R1_4_6,100,200,400,7109,100,100,825
R1_4_7,100,200,400,7109,100,100,832
R1_4_8,100,200,400,7109,100,100,855
R1_4_9,100,200,400,7109,100,100,816
R2_4_1,100,1000,400,7109,100,100,2991
R2_4_10,100,1000,400,7109,100,100,2799
R2_4_2,100,1000,400,7109,100,100,2937
R2_4_3,100,1000,400,7109,100,100,2936
R2_4_4,100,1000,400,7109,100,100,2848
R2_4_5,100,1000,400,7109,100,100,2920
R2_4_6,100,1000,400,7109,100,100,2878
R2_4_7,100,1000,400,7109,100,100,2877
R2_4_8,100,1000,400,7109,100,100,2925
R2_4_9,100,1000,400,7109,100,100,2822
RC1_4_1,100,200,400,7127,100,100,794
RC1_4_10,100,200,400,7127,100,100,747
RC1_4_2,100,200,400,7127,100,100,787
RC1_4_3,100,200,400,7127,100,100,791
RC1_4_4,100,200,400,7127,100,100,763
RC1_4_5,100,200,400,7127,100,100,759
RC1_4_6,100,200,400,7127,100,100,775
RC1_4_7,100,200,400,7127,100,100,745
RC1_4_8,100,200,400,7127,100,100,743
RC1_4_9,100,200,400,7127,100,100,726
RC2_4_1,100,1000,400,7127,100,100,2938
RC2_4_10,100,1000,400,7127,100,100,2504
RC2_4_2,100,1000,400,7127,100,100,2867
RC2_4_3,100,1000,400,7127,100,100,2863
RC2_4_4,100,1000,400,7127,100,100,2785
RC2_4_5,100,1000,400,7127,100,100,2907
RC2_4_6,100,1000,400,7127,100,100,2827
RC2_4_7,100,1000,400,7127,100,100,2884
RC2_4_8,100,1000,400,7127,100,100,2657
RC2_4_9,100,1000,400,7127,100,100,2608
