cust_no,xcoord,ycoord,demand,ready_time,due_date,service_time
1,25,85,20,0,923,10
2,22,75,30,1,995,10
3,22,85,10,0,922,10
4,20,80,40,644,838,10
5,20,85,20,0,921,10
6,18,75,20,390,580,10
7,15,75,20,0,986,10
8,15,80,10,373,557,10
9,10,35,20,372,541,10
10,10,40,30,525,722,10
11,8,40,40,195,334,10
12,8,45,20,1,1002,10
13,5,35,10,656,861,10
14,5,45,10,0,999,10
15,2,40,20,174,313,10
16,0,40,20,1,927,10
17,0,45,20,703,908,10
18,44,5,20,0,942,10
19,42,10,40,1,971,10
20,42,15,10,0,976,10
21,40,5,10,0,943,10
22,40,15,40,379,556,10
23,38,5,30,207,359,10
24,38,15,10,2,1027,10
25,35,5,20,785,1014,10
26,95,30,30,0,912,10
27,95,35,20,146,287,10
28,92,30,10,0,915,10
29,90,35,10,0,918,10
30,88,30,10,246,387,10
31,88,35,20,0,920,10
32,87,30,10,1,917,10
33,85,25,10,86,217,10
34,85,35,30,1,923,10
35,67,85,20,657,815,10
36,65,85,40,45,181,10
37,65,82,10,1,949,10
38,62,80,30,280,435,10
39,60,80,10,64,199,10
40,60,85,30,330,487,10
41,58,75,20,378,530,10
42,55,80,10,39,168,10
43,55,85,20,0,929,10
44,55,82,10,217,355,10
45,20,82,10,37,169,10
46,18,80,10,2,986,10
47,2,45,10,0,996,10
48,42,5,10,0,942,10
49,42,12,10,440,622,10
50,72,35,30,1,925,10
51,55,20,19,1,973,10
52,25,30,3,5,1001,10
53,20,50,5,381,552,10
54,55,60,16,0,963,10
55,30,60,16,605,801,10
56,50,35,19,563,746,10
57,30,25,23,0,951,10
58,15,10,20,785,1006,10
59,10,20,19,0,1004,10
60,15,60,17,4,940,10
61,45,65,9,2,942,10
62,65,35,3,171,312,10
63,65,20,6,1,960,10
64,45,30,17,195,343,10
65,35,40,16,12,135,10
66,41,37,16,567,757,10
67,64,42,9,268,414,10
68,40,60,21,612,814,10
69,31,52,27,172,311,10
70,35,69,23,813,1015,10
71,65,55,14,1,968,10
72,63,65,8,1,964,10
73,2,60,5,0,927,10
74,20,20,8,653,862,10
75,5,5,16,0,992,10
76,60,12,31,273,432,10
77,23,3,7,768,992,10
78,8,56,27,369,547,10
79,6,68,30,353,536,10
80,47,47,13,826,992,10
81,49,58,10,0,942,10
82,27,43,9,0,975,10
83,37,31,14,0,1043,10
84,57,29,18,398,570,10
85,63,23,2,1,965,10
86,21,24,28,8,944,10
87,12,24,13,366,527,10
88,24,58,19,263,418,10
89,67,5,25,4,945,10
90,37,47,6,0,947,10
91,49,42,13,1,943,10
92,53,43,14,14,141,10
93,61,52,3,810,974,10
94,57,48,23,3,962,10
95,56,37,6,2,938,10
96,55,54,26,1,966,10
97,4,18,35,1,1000,10
98,26,52,9,1,974,10
99,26,35,15,308,469,10
100,31,67,3,811,1017,10
