cust_no,xcoord,ycoord,demand,ready_time,due_date,service_time
1,10,86,14,1645,1893,10
2,16,62,15,1585,1779,10
3,84,36,10,407,569,10
4,79,72,22,0,131,10
5,16,39,20,0,2481,10
6,61,54,10,162,289,10
7,96,26,10,229,382,10
8,16,92,10,1436,1682,10
9,85,106,20,1,2596,10
10,6,25,10,1,2491,10
11,37,125,10,1377,1608,10
12,87,108,20,7,2593,10
13,18,104,18,1358,1593,10
14,61,48,20,271,401,10
15,97,29,30,136,289,10
16,112,67,10,0,2504,10
17,50,106,25,1,2622,10
18,99,28,30,2,2506,10
19,15,9,2,0,2479,10
20,19,37,20,510,676,10
21,90,101,10,621,817,10
22,125,68,20,774,987,10
23,127,108,10,539,710,10
24,90,44,6,214,368,10
25,4,23,10,477,633,10
26,17,37,30,413,567,10
27,113,32,36,584,771,10
28,63,57,10,59,186,10
29,94,104,10,0,2538,10
30,58,95,35,1945,2204,10
31,137,96,9,241,373,10
32,127,112,20,0,2506,10
33,103,119,18,4,2567,10
34,20,69,13,9,2547,10
35,2,28,10,316,459,10
36,88,29,33,2,2662,10
37,86,102,10,124,255,10
38,126,112,10,439,610,10
39,61,34,7,1902,2168,10
40,113,69,20,281,423,10
41,109,78,21,958,1177,10
42,21,48,10,161,291,10
43,86,36,20,314,475,10
44,97,12,10,830,1046,10
45,121,112,20,298,451,10
46,19,39,10,553,724,10
47,66,40,20,48,185,10
48,87,39,20,59,213,10
49,63,50,10,220,349,10
50,121,123,9,1033,1239,10
51,116,22,32,3,2569,10
52,137,101,12,683,877,10
53,137,137,27,400,566,10
54,70,94,32,38,162,10
55,117,92,25,1136,1369,10
56,122,113,20,341,498,10
57,109,71,20,138,268,10
58,35,102,10,689,893,10
59,91,108,10,301,477,10
60,8,87,17,1605,1857,10
61,140,42,13,417,560,10
62,16,38,20,376,521,10
63,44,36,9,172,319,10
64,60,84,23,12,2532,10
65,109,139,8,4,2542,10
66,80,103,15,1488,1760,10
67,66,82,27,2009,2273,10
68,99,26,40,281,434,10
69,34,108,10,2,2609,10
70,135,65,3,1367,1604,10
71,36,124,34,935,1142,10
72,102,60,30,551,726,10
73,30,21,12,1291,1538,10
74,139,110,19,1,2528,10
75,10,111,21,1972,2225,10
76,18,70,26,1564,1757,10
77,4,28,10,577,742,10
78,57,53,10,377,551,10
79,54,41,9,1126,1299,10
80,107,25,13,4,2496,10
81,110,99,21,0,2589,10
82,84,88,16,1428,1700,10
83,101,0,9,1997,2283,10
84,28,99,10,148,299,10
85,119,114,20,245,400,10
86,118,108,10,699,891,10
87,50,112,18,929,1141,10
88,44,116,27,4,2565,10
89,82,100,18,2,2605,10
90,83,12,29,921,1142,10
91,126,23,13,6,2533,10
92,85,75,37,39,169,10
93,39,13,20,4,2607,10
94,120,136,10,458,626,10
95,105,2,1,899,1111,10
96,36,54,15,1493,1671,10
97,35,90,20,5,2515,10
98,111,66,20,376,517,10
99,119,136,30,414,582,10
100,84,99,20,59,199,10
101,137,127,28,783,986,10
102,95,35,10,0,2533,10
103,69,6,8,6,2626,10
104,1,24,10,417,562,10
105,31,112,20,427,625,10
106,138,78,43,813,1021,10
107,100,99,17,1198,1429,10
108,123,112,20,388,558,10
109,119,130,20,612,801,10
110,92,22,18,7,2651,10
111,137,7,40,625,835,10
112,121,124,21,610,786,10
113,34,104,10,589,790,10
114,121,110,30,646,838,10
115,56,139,18,1239,1469,10
116,106,10,13,1,2559,10
117,125,108,20,7,2492,10
118,21,115,10,350,541,10
119,110,66,10,1,2506,10
120,36,38,5,1,2488,10
121,56,129,21,1146,1376,10
122,4,30,40,0,2494,10
123,8,138,10,1172,1394,10
124,88,35,20,266,426,10
125,116,132,10,707,897,10
126,113,45,4,1198,1428,10
127,28,107,20,262,419,10
128,115,134,30,301,459,10
129,116,83,30,730,926,10
130,57,59,10,487,663,10
131,89,39,23,85,217,10
132,59,52,20,339,502,10
133,112,71,20,189,320,10
134,35,99,20,741,945,10
135,23,39,20,0,2521,10
136,84,39,20,462,633,10
137,19,120,16,1051,1266,10
138,20,39,10,597,768,10
139,90,104,20,9,2637,10
140,66,91,16,4,150,10
141,4,44,24,1670,1865,10
142,78,63,19,0,135,10
143,92,107,30,333,523,10
144,37,138,5,840,1045,10
145,120,14,20,1034,1261,10
146,33,0,20,1940,2191,10
147,113,71,10,233,364,10
148,112,13,27,2,2561,10
149,41,36,13,206,334,10
150,64,61,20,0,2520,10
151,121,134,20,0,2493,10
152,103,44,12,113,247,10
153,67,55,10,0,2513,10
154,86,80,21,13,2577,10
155,64,132,8,247,405,10
156,93,36,20,150,282,10
