cust_no,xcoord,ycoord,demand,ready_time,due_date,service_time
1,37,48,10,290,480,90
2,42,100,30,645,824,90
3,131,31,10,2133,2336,90
4,108,13,20,2025,2227,90
5,17,166,10,1886,2124,90
6,147,134,20,2897,3119,90
7,48,103,10,926,1098,90
8,127,166,20,2197,2405,90
9,50,181,20,868,1072,90
10,19,156,10,2187,2431,90
11,146,157,40,1593,1778,90
12,93,166,10,1620,1815,90
13,170,83,30,2038,2262,90
14,79,13,20,1435,1633,90
15,73,112,10,232,395,90
16,87,87,10,2661,2897,90
17,118,50,10,1972,2201,90
18,79,70,20,842,1018,90
19,67,102,40,1904,2129,90
20,48,166,30,477,667,90
21,45,88,30,74,238,90
22,61,101,10,612,780,90
23,54,175,20,771,972,90
24,126,39,10,1943,2141,90
25,107,73,30,0,194,90
26,42,75,20,1582,1780,90
27,74,102,10,509,676,90
28,72,118,20,1053,1246,90
29,65,135,20,1344,1540,90
30,27,89,10,2570,2781,90
31,84,133,10,0,209,90
32,178,69,40,1742,1961,90
33,127,46,20,2906,3121,90
34,28,96,20,361,535,90
35,100,47,20,244,420,90
36,69,167,20,272,457,90
37,98,59,10,57,224,90
38,79,84,10,2470,2703,90
39,61,174,10,1456,1669,90
40,138,135,10,3084,3309,90
41,170,156,10,2085,2278,90
42,119,169,20,2098,2305,90
43,66,192,20,2387,2610,90
44,120,76,30,1362,1543,90
45,29,171,20,2571,2825,90
46,89,11,10,1715,1917,90
47,170,64,20,2144,2371,90
48,135,146,10,3378,3619,90
49,85,134,20,48,221,90
50,19,179,30,994,1205,90
51,95,137,10,660,844,90
52,163,125,30,2696,2914,90
53,30,54,30,188,377,90
54,16,77,20,1460,1676,90
55,28,168,20,2664,2919,90
56,78,188,20,2875,3104,90
57,27,83,20,2663,2877,90
58,136,57,30,1468,1686,90
59,59,98,10,1816,2027,90
60,170,49,30,876,1081,90
61,114,138,20,3000,3231,90
62,78,154,10,0,236,90
63,69,190,30,2293,2516,90
64,60,171,20,373,560,90
65,112,53,10,2070,2300,90
66,99,123,10,2512,2730,90
67,28,50,10,509,704,90
68,97,163,20,1714,1912,90
69,150,135,20,837,1015,90
70,136,134,10,3274,3501,90
71,120,153,10,2890,3120,90
72,79,89,10,3033,3273,90
73,162,44,20,491,691,90
74,163,55,20,2703,2934,90
75,103,91,20,0,172,90
76,74,91,20,3135,3358,90
77,126,31,20,2228,2431,90
78,16,146,10,2086,2329,90
79,84,20,10,2597,2817,90
80,21,91,20,1972,2162,90
81,37,162,20,2857,3114,90
82,89,168,20,3087,3322,90
83,72,10,20,1149,1343,90
84,55,160,10,575,769,90
85,63,189,30,2482,2707,90
86,164,124,20,2606,2823,90
87,20,96,20,1788,1976,90
88,82,88,20,2754,2993,90
89,76,157,20,73,252,90
90,74,196,30,2773,3002,90
91,85,14,10,2314,2530,90
92,77,86,20,2378,2609,90
93,142,141,20,1118,1299,90
94,119,66,10,1074,1252,90
95,7,176,10,1690,1924,90
96,92,55,20,2685,2936,90
97,168,43,10,779,984,90
98,89,113,10,2619,2840,90
99,98,85,30,2990,3246,90
100,46,99,10,831,1003,90
101,62,120,30,958,1144,90
102,93,1,20,1909,2111,90
103,144,58,30,1375,1587,90
104,20,54,20,603,806,90
105,32,191,10,316,513,90
106,143,72,20,3006,3241,90
107,68,190,20,2202,2425,90
108,140,51,10,1673,1865,90
109,119,130,20,3406,3636,90
110,37,195,10,415,613,90
111,29,163,30,2759,3015,90
112,120,70,10,1168,1347,90
113,12,186,10,1492,1719,90
114,118,59,10,886,1063,90
115,90,74,10,147,311,90
116,165,151,20,1895,2086,90
117,125,72,20,1264,1443,90
118,177,122,30,2412,2623,90
119,64,78,10,629,797,90
120,67,60,10,1455,1649,90
121,167,55,30,2521,2750,90
122,173,56,20,1066,1274,90
123,179,78,20,1938,2158,90
124,83,74,40,1131,1313,90
125,140,70,30,1570,1756,90
126,81,191,20,2967,3200,90
127,101,37,30,344,521,90
128,34,182,20,697,902,90
129,99,61,20,597,771,90
130,168,126,20,2513,2726,90
131,139,131,20,3178,3404,90
132,134,46,20,1754,1947,90
133,66,78,30,537,705,90
134,71,189,10,2109,2331,90
135,70,185,20,2015,2236,90
136,16,78,30,2264,2487,90
137,57,73,30,0,230,90
138,92,39,10,3165,3389,90
139,5,58,20,984,1193,90
140,75,61,20,746,915,90
141,186,50,20,1453,1665,90
142,14,199,30,1394,1613,90
143,80,139,30,1542,1743,90
144,110,72,10,311,479,90
145,40,87,20,2745,2981,90
146,155,38,10,389,588,90
147,155,108,20,165,333,90
148,152,149,20,1791,1982,90
149,55,195,20,1066,1274,90
150,86,100,10,3330,3567,90
151,36,107,20,1212,1389,90
152,103,148,20,946,1136,90
153,29,88,10,2375,2601,90
154,32,93,20,264,438,90
155,79,132,20,2015,2221,90
156,25,182,10,898,1106,90
157,25,187,30,1192,1407,90
158,23,102,30,2470,2674,90
159,128,80,10,1461,1644,90
160,165,62,20,2331,2559,90
161,34,84,10,2853,3069,90
162,82,100,10,0,178,90
163,162,37,40,585,788,90
164,138,132,10,3297,3525,90
165,65,182,20,1354,1567,90
166,53,168,20,0,275,90
167,114,55,10,2619,2829,90
168,24,164,30,2288,2535,90
169,74,5,20,1333,1529,90
170,109,73,10,219,386,90
171,102,146,10,853,1042,90
172,144,38,30,1143,1345,90
173,93,11,20,1809,2011,90
174,73,106,10,415,581,90
175,51,190,30,208,403,90
176,106,113,30,3002,3229,90
177,81,80,10,339,506,90
178,138,22,30,949,1143,90
179,69,173,40,1732,1950,90
180,75,18,30,958,1149,90
181,166,55,10,2610,2841,90
182,89,68,10,1030,1212,90
183,126,59,20,1783,2004,90
184,88,137,10,1735,1937,90
185,99,152,40,1145,1337,90
186,178,54,20,1250,1460,90
187,132,51,20,1656,1876,90
188,100,147,10,764,949,90
189,36,96,10,457,633,90
190,6,59,20,1075,1286,90
191,102,62,30,419,587,90
192,55,188,30,114,308,90
193,135,54,30,1561,1780,90
194,6,66,20,1262,1474,90
195,88,116,30,2801,3028,90
196,29,75,20,1675,1893,90
197,143,140,10,1027,1207,90
198,15,181,20,1087,1300,90
199,130,42,30,1848,2044,90
200,17,99,20,1697,1880,90
201,182,68,10,1649,1866,90
202,27,187,30,1280,1499,90
203,40,34,10,393,586,90
