episode,policy_reward,baseline_reward,advantage
1,-1.0984999999999994,-1.935999999999998,0.8374999999999986
2,-0.7724999999999995,-0.8590000000000007,0.08650000000000113
3,-0.32200000000000056,-0.5215000000000003,0.19949999999999973
4,-0.11400000000000018,-1.2604999999999975,1.1464999999999974
5,1.0375000000000008,-0.9050000000000007,1.9425000000000014
6,-0.20999999999999985,-1.889999999999998,1.679999999999998
7,1.1015,-0.8110000000000006,1.9125000000000005
8,-1.3494999999999977,-1.436999999999997,0.08749999999999925
9,-0.6204999999999999,-1.0680000000000005,0.44750000000000056
10,-0.6699999999999995,-1.022999999999998,0.3529999999999984
11,0.6295000000000012,-2.015999999999999,2.6455
12,0.5110000000000011,-0.8920000000000006,1.4030000000000018
13,-0.9169999999999995,-1.3334999999999992,0.41649999999999976
14,-0.705499999999999,-1.2129999999999992,0.5075000000000002
15,-1.7284999999999995,-1.5009999999999994,-0.22750000000000004
16,1.0440000000000014,0.10949999999999938,0.934500000000002
17,-1.0589999999999988,-0.09850000000000042,-0.9604999999999984
18,-0.051000000000000656,0.37649999999999956,-0.4275000000000002
19,-0.36900000000000044,0.4350000000000003,-0.8040000000000007
20,-1.3494999999999995,-0.5135000000000007,-0.8359999999999987
21,-0.8214999999999988,-0.32150000000000034,-0.49999999999999845
22,-1.1109999999999987,-0.0355000000000006,-1.0754999999999981
23,-1.2094999999999996,-0.4559999999999999,-0.7534999999999996
24,-0.7419999999999994,0.6135,-1.3554999999999995
25,-0.3045000000000005,0.807500000000001,-1.1120000000000014
26,-1.8865,-0.19350000000000012,-1.693
27,-1.1114999999999995,-0.006500000000000603,-1.1049999999999989
28,-0.8684999999999997,-1.2304999999999973,0.36199999999999755
29,0.29399999999999954,0.14899999999999958,0.14499999999999996
30,-0.781999999999999,-0.6814999999999994,-0.10049999999999959
31,0.2584999999999996,-0.4515000000000004,0.71
32,-1.1864999999999986,-0.2830000000000008,-0.9034999999999977
33,-1.2919999999999991,-0.7120000000000002,-0.579999999999999
34,-0.9319999999999995,-0.3660000000000006,-0.565999999999999
35,-1.0774999999999988,0.008499999999999286,-1.085999999999998
36,-0.9184999999999998,-0.6860000000000006,-0.23249999999999915
37,-0.38350000000000056,0.021499999999999977,-0.4050000000000005
38,-0.0735000000000005,0.9620000000000039,-1.0355000000000043
39,-0.16899999999999996,0.6314999999999997,-0.8004999999999997
40,-1.2939999999999994,-0.18950000000000097,-1.1044999999999985
41,-0.42050000000000065,0.2469999999999999,-0.6675000000000005
42,-1.5869999999999973,-1.2804999999999962,-0.3065000000000011
43,-0.8404999999999995,-0.2675000000000005,-0.572999999999999
44,-0.5964999999999996,-0.4140000000000006,-0.182499999999999
45,-1.759499999999999,-0.7594999999999992,-0.9999999999999998
46,-0.31249999999999994,-0.13050000000000106,-0.18199999999999888
47,-0.1855000000000004,0.7694999999999999,-0.9550000000000003
48,-0.35200000000000015,-0.43850000000000044,0.0865000000000003
49,-0.4470000000000002,-0.5090000000000006,0.06200000000000039
50,-1.3864999999999987,-0.5645000000000011,-0.8219999999999976
51,0.2519999999999999,0.43099999999999966,-0.17899999999999977
52,-0.7889999999999993,0.43499999999999983,-1.223999999999999
53,0.3324999999999995,0.34749999999999975,-0.015000000000000235
54,-0.12449999999999978,0.24049999999999963,-0.36499999999999944
55,-1.2139999999999989,-0.3670000000000004,-0.8469999999999984
56,-0.5775000000000005,-0.5890000000000004,0.011499999999999955
57,-0.40750000000000025,-0.5130000000000005,0.1055000000000002
58,-0.997499999999999,-0.3045000000000004,-0.6929999999999987
59,-0.7689999999999988,-0.5810000000000005,-0.18799999999999828
60,-0.756499999999999,-0.16250000000000042,-0.5939999999999985
61,-0.40900000000000053,0.4304999999999996,-0.8395000000000001
62,-1.5394999999999996,-0.33400000000000035,-1.2054999999999993
63,-1.0339999999999998,-0.2780000000000004,-0.7559999999999993
64,-1.6059999999999997,-0.6494999999999995,-0.9565000000000001
65,-0.2180000000000006,0.7225000000000005,-0.9405000000000011
66,-1.3964999999999987,-0.4580000000000007,-0.9384999999999981
67,-1.227499999999998,-0.8084999999999999,-0.41899999999999815
68,-0.6234999999999999,-1.2669999999999975,0.6434999999999975
69,-0.5384999999999998,-0.37850000000000034,-0.15999999999999942
70,-0.05600000000000044,0.10400000000000026,-0.1600000000000007
71,-0.7354999999999993,-0.6960000000000004,-0.03949999999999887
72,-0.623,-0.5040000000000003,-0.11899999999999966
73,-0.42750000000000005,-0.035000000000000475,-0.39249999999999957
74,-0.4260000000000002,0.7314999999999996,-1.1574999999999998
75,-1.3254999999999975,0.0914999999999993,-1.4169999999999967
76,0.21699999999999964,-1.5859999999999985,1.8029999999999982
77,-0.05750000000000055,-0.16450000000000034,0.10699999999999979
78,-0.9244999999999989,0.34249999999999975,-1.2669999999999986
79,-0.46900000000000036,-0.5665000000000007,0.09750000000000031
80,0.585,-0.1320000000000009,0.7170000000000009
81,0.41699999999999976,-0.2580000000000005,0.6750000000000003
82,-1.703999999999998,-0.47599999999999915,-1.2279999999999989
83,-0.7779999999999996,-0.7909999999999995,0.0129999999999999
84,-0.24250000000000055,-0.33750000000000085,0.0950000000000003
85,0.35599999999999954,0.1909999999999992,0.16500000000000034
86,-0.9089999999999989,0.6735000000000009,-1.5824999999999998
87,1.450500000000001,0.6025000000000008,0.8480000000000002
88,0.5504999999999999,-0.08250000000000031,0.6330000000000002
89,-0.7510000000000002,-1.3214999999999986,0.5704999999999983
90,-1.317,-0.07600000000000015,-1.2409999999999999
91,-0.33850000000000013,0.14249999999999946,-0.4809999999999996
92,0.5904999999999996,1.1060000000000034,-0.5155000000000038
93,-0.7104999999999989,-0.42800000000000077,-0.28249999999999814
94,-0.9454999999999988,0.3854999999999994,-1.3309999999999982
95,-1.1839999999999982,0.05049999999999977,-1.234499999999998
96,-0.1575000000000007,-1.1634999999999973,1.0059999999999967
97,0.2174999999999998,0.1389999999999994,0.0785000000000004
98,-0.6494999999999989,-0.8860000000000007,0.23650000000000182
99,0.8935000000000004,0.413,0.4805000000000004
100,-1.1559999999999984,-0.2490000000000006,-0.9069999999999978
101,-0.3935000000000001,-0.775499999999999,0.38199999999999884
102,-0.75,0.42799999999999966,-1.1779999999999997
103,-1.0884999999999985,-0.6405000000000002,-0.4479999999999983
104,-0.9634999999999994,-0.9139999999999993,-0.0495000000000001
105,-0.32400000000000034,-0.7679999999999989,0.44399999999999856
106,-2.367999999999999,-0.8864999999999993,-1.4814999999999996
107,-0.3934999999999997,-0.9354999999999996,0.5419999999999998
108,0.5819999999999995,-1.0594999999999997,1.6414999999999993
109,-0.07050000000000006,0.008999999999999722,-0.07949999999999978
110,0.6464999999999996,0.3045000000000002,0.3419999999999994
111,0.8800000000000001,-0.9299999999999995,1.8099999999999996
112,-0.9839999999999994,-0.4350000000000002,-0.5489999999999993
113,-1.2599999999999998,0.32349999999999973,-1.5834999999999995
114,-0.10400000000000023,-0.43200000000000116,0.32800000000000096
115,-0.2855000000000003,0.5719999999999997,-0.8575
116,-0.5539999999999995,0.6610000000000001,-1.2149999999999996
117,-0.06199999999999972,-0.040000000000000896,-0.021999999999998826
118,-0.5604999999999996,0.19049999999999967,-0.7509999999999992
119,-0.7624999999999995,0.48899999999999993,-1.2514999999999994
120,-1.6964999999999997,-0.33350000000000085,-1.3629999999999989
121,-1.7945000000000007,-0.07700000000000065,-1.7175
122,0.23199999999999923,0.1264999999999995,0.10549999999999973
123,0.18049999999999974,-0.3760000000000005,0.5565000000000002
