cust_no,xcoord,ycoord,demand,ready_time,due_date,service_time
1,41,49,10,4,1006,10
2,35,17,7,0,1045,10
3,55,45,13,2,1009,10
4,55,20,19,682,888,10
5,15,30,26,2,1063,10
6,25,30,3,416,549,10
7,20,50,5,4,1043,10
8,10,43,9,406,522,10
9,55,60,16,404,547,10
10,30,60,16,577,685,10
11,20,65,12,210,348,10
12,50,35,19,2,1036,10
13,30,25,23,694,895,10
14,15,10,20,4,976,10
15,30,5,8,176,313,10
16,10,20,19,1,989,10
17,5,30,2,740,955,10
18,20,40,12,2,979,10
19,15,60,17,4,1010,10
20,45,65,9,3,1023,10
21,45,20,11,0,1032,10
22,45,10,18,410,573,10
23,55,5,29,206,378,10
24,65,35,3,4,1060,10
25,65,20,6,818,1047,10
26,45,30,17,2,1042,10
27,35,40,16,99,255,10
28,41,37,16,4,1091,10
29,64,42,9,0,1016,10
30,40,60,21,263,387,10
31,31,52,27,0,1000,10
32,35,69,23,1,1015,10
33,53,52,11,44,211,10
34,65,55,14,1,1008,10
35,63,65,8,689,866,10
36,2,60,5,41,218,10
37,20,20,8,0,977,10
38,5,5,16,306,431,10
39,60,12,31,49,273,10
40,40,25,9,362,500,10
41,42,7,5,400,589,10
42,24,12,5,28,184,10
43,23,3,7,1,970,10
44,11,14,18,235,362,10
45,6,38,16,30,196,10
46,2,48,1,3,964,10
47,8,56,27,2,1001,10
48,13,52,36,2,1006,10
49,6,68,30,502,588,10
50,47,47,13,0,981,10
51,49,58,10,5,990,10
52,27,43,9,2,981,10
53,37,31,14,416,555,10
54,57,29,18,4,1063,10
55,63,23,2,622,828,10
56,53,12,6,585,773,10
57,32,12,7,0,978,10
58,36,26,18,849,1049,10
59,21,24,28,1,1004,10
60,17,34,3,1,1066,10
61,12,24,13,3,1052,10
62,24,58,19,165,328,10
63,27,69,10,2,1011,10
64,15,77,9,222,352,10
65,62,77,20,54,206,10
66,49,73,25,595,755,10
67,67,5,25,298,454,10
68,56,39,36,639,810,10
69,37,47,6,163,326,10
70,37,56,5,792,1038,10
71,57,68,15,3,972,10
72,47,16,25,5,1026,10
73,44,17,9,0,1029,10
74,46,13,8,681,884,10
75,49,11,18,0,1042,10
76,49,42,13,296,412,10
77,53,43,14,819,1056,10
78,61,52,3,386,545,10
79,57,48,23,389,508,10
80,56,37,6,840,1069,10
81,55,54,26,1,974,10
82,15,47,16,2,1043,10
83,14,37,11,2,1006,10
84,11,31,7,436,547,10
85,16,22,41,1,996,10
86,4,18,35,0,981,10
87,28,18,26,426,519,10
88,26,52,9,280,416,10
89,26,35,15,0,1077,10
90,31,67,3,1,1014,10
91,15,19,1,2,1055,10
92,22,22,2,18,188,10
93,18,24,22,811,1060,10
94,26,27,27,0,982,10
95,25,24,20,0,981,10
96,22,27,11,0,1007,10
97,25,21,12,0,978,10
98,19,21,10,0,976,10
99,20,26,9,333,465,10
100,18,18,17,798,1056,10
