cust_no,xcoord,ycoord,demand,ready_time,due_date,service_time
1,25,85,20,591,912,10
2,22,75,30,74,356,10
3,22,85,10,474,626,10
4,20,80,40,418,949,10
5,20,85,20,41,398,10
6,18,75,20,249,680,10
7,15,75,20,285,472,10
8,15,80,10,274,617,10
9,10,35,20,227,637,10
10,10,40,30,472,768,10
11,8,40,40,34,523,10
12,8,45,20,166,414,10
13,5,35,10,359,989,10
14,5,45,10,35,472,10
15,2,40,20,39,551,10
16,0,40,20,214,428,10
17,0,45,20,362,994,10
18,44,5,20,338,496,10
19,42,10,40,211,465,10
20,42,15,10,511,744,10
21,40,5,10,159,436,10
22,40,15,40,268,668,10
23,38,5,30,45,567,10
24,38,15,10,601,967,10
25,35,5,20,352,970,10
26,95,30,30,509,736,10
27,95,35,20,57,732,10
28,92,30,10,69,372,10
29,90,35,10,131,398,10
30,88,30,10,114,520,10
31,88,35,20,108,369,10
32,87,30,10,564,865,10
33,85,25,10,53,698,10
34,85,35,30,462,699,10
35,67,85,20,396,943,10
36,65,85,40,43,750,10
37,65,82,10,531,742,10
38,62,80,30,132,560,10
39,60,80,10,36,816,10
40,60,85,30,235,558,10
41,58,75,20,208,682,10
42,55,80,10,37,636,10
43,55,85,20,549,756,10
44,55,82,10,62,503,10
45,20,82,10,37,713,10
46,18,80,10,435,698,10
47,2,45,10,39,381,10
48,42,5,10,636,985,10
49,42,12,10,423,638,10
50,72,35,30,471,730,10
51,55,20,19,284,527,10
52,25,30,3,109,368,10
53,20,50,5,288,604,10
54,55,60,16,575,800,10
55,30,60,16,421,990,10
56,50,35,19,411,875,10
57,30,25,23,347,622,10
58,15,10,20,384,974,10
59,10,20,19,46,515,10
60,15,60,17,621,988,10
61,45,65,9,232,438,10
62,65,35,3,34,655,10
63,65,20,6,43,383,10
64,45,30,17,20,504,10
65,35,40,16,0,574,10
66,41,37,16,425,915,10
67,64,42,9,114,559,10
68,40,60,21,444,1002,10
69,31,52,27,0,534,10
70,35,69,23,212,1026,10
71,65,55,14,202,423,10
72,63,65,8,30,404,10
73,2,60,5,257,462,10
74,20,20,8,430,967,10
75,5,5,16,183,445,10
76,60,12,31,165,526,10
77,23,3,7,361,967,10
78,8,56,27,199,678,10
79,6,68,30,261,594,10
80,47,47,13,427,1034,10
81,49,58,10,373,490,10
82,27,43,9,70,344,10
83,37,31,14,20,332,10
84,57,29,18,307,655,10
85,63,23,2,321,543,10
86,21,24,28,332,540,10
87,12,24,13,366,523,10
88,24,58,19,101,543,10
89,67,5,25,577,978,10
90,37,47,6,330,552,10
91,49,42,13,654,997,10
92,53,43,14,15,732,10
93,61,52,3,300,953,10
94,57,48,23,390,577,10
95,56,37,6,24,311,10
96,55,54,26,539,766,10
97,4,18,35,551,744,10
98,26,52,9,105,356,10
99,26,35,15,167,572,10
100,31,67,3,262,1025,10
