Route_ID,Num_Customers,Travel_Distance,Max_Capacity_Used,Customer_Sequence
1,12,95.64635,150.0,"[95, 92, 98, 42, 15, 57, 87, 97, 37, 96, 13, 58]"
2,9,120.24945,159.0,"[39, 67, 23, 75, 22, 41, 74, 56, 4]"
3,10,114.82541,119.0,"[27, 69, 76, 33, 81, 9, 35, 34, 24, 80]"
4,10,115.88107,118.0,"[2, 72, 73, 21, 40, 53, 26, 54, 55, 25]"
5,9,95.96277,71.0,"[52, 88, 7, 18, 8, 84, 17, 60, 89]"
6,7,78.44299,135.0,"[5, 45, 61, 85, 99, 94, 6]"
7,10,127.30241,183.0,"[59, 14, 44, 16, 86, 38, 43, 100, 91, 93]"
8,8,128.26614,143.0,"[83, 82, 19, 47, 36, 49, 46, 48]"
9,9,92.73412,146.0,"[28, 12, 29, 78, 79, 3, 50, 77, 68]"
10,9,119.70836,142.0,"[31, 30, 51, 71, 65, 66, 20, 70, 1]"
11,7,105.71452,92.0,"[62, 11, 64, 63, 90, 32, 10]"
