Route_ID,Num_Customers,Travel_Distance,Max_Capacity_Used,Customer_Sequence
1,11,253.18,193.0,"[152, 167, 27, 51, 61, 198, 111, 91, 145, 80, 126]"
2,10,104.34,200.0,"[92, 133, 147, 40, 16, 98, 119, 161, 169, 72]"
3,12,212.35,196.0,"[49, 14, 47, 200, 103, 90, 44, 116, 95, 83, 148, 36]"
4,11,106.42,200.0,"[48, 156, 102, 183, 15, 179, 124, 43, 180, 3, 136]"
5,11,102.68,200.0,"[140, 89, 100, 9, 12, 59, 143, 139, 21, 166, 82]"
6,12,209.66,199.0,"[4, 165, 108, 38, 32, 117, 23, 52, 31, 106, 22, 70]"
7,12,146.41,199.0,"[37, 29, 188, 173, 85, 56, 45, 114, 86, 81, 107, 154]"
8,11,140.09,199.0,"[42, 5, 62, 26, 20, 159, 46, 138, 186, 135, 79]"
9,14,204.09,193.0,"[153, 28, 163, 6, 132, 78, 162, 63, 149, 170, 19, 146, 93, 39]"
10,8,112.28,200.0,"[142, 182, 57, 195, 41, 129, 194, 158]"
11,11,257.37,196.0,"[58, 134, 88, 87, 71, 144, 123, 75, 60, 1, 97]"
12,13,180.71,195.0,"[84, 199, 127, 176, 113, 191, 69, 105, 118, 137, 13, 8, 174]"
13,10,132.74,199.0,"[24, 131, 196, 184, 190, 18, 68, 7, 110, 178]"
14,13,189.76,197.0,"[172, 197, 181, 122, 77, 35, 164, 104, 25, 10, 193, 73, 120]"
15,11,177.81,194.0,"[177, 128, 125, 189, 109, 160, 112, 50, 157, 33, 66]"
16,10,222.27,200.0,"[65, 168, 99, 94, 151, 53, 192, 101, 74, 55]"
17,9,169.29,199.0,"[54, 155, 115, 121, 11, 17, 30, 64, 67]"
18,11,160.95,199.0,"[150, 187, 171, 130, 96, 185, 141, 2, 34, 76, 175]"
