Route_ID,Num_Customers,Travel_Distance,Max_Capacity_Used,Customer_Sequence
1,13,224.81,194.0,"[152, 62, 194, 20, 163, 136, 6, 189, 177, 102, 173, 10, 83]"
2,11,145.51,197.0,"[132, 7, 55, 150, 36, 68, 79, 158, 172, 18, 14]"
3,14,264.53,198.0,"[157, 184, 153, 71, 166, 33, 193, 186, 144, 179, 190, 167, 72, 107]"
4,15,198.94,197.0,"[155, 67, 137, 25, 116, 61, 117, 160, 49, 180, 195, 27, 133, 64, 80]"
5,11,212.25,196.0,"[87, 161, 16, 115, 162, 171, 170, 122, 8, 42, 146]"
6,9,186.77,198.0,"[143, 21, 123, 168, 139, 187, 78, 148, 149]"
7,9,116.69,175.0,"[46, 164, 54, 141, 151, 188, 56, 175, 9]"
8,15,205.94,200.0,"[4, 15, 70, 129, 43, 85, 191, 94, 12, 82, 47, 22, 174, 39, 97]"
9,11,173.75,200.0,"[120, 156, 51, 26, 126, 176, 69, 165, 124, 103, 134]"
10,10,187.53,197.0,"[145, 121, 192, 53, 17, 2, 76, 200, 40, 112]"
11,10,84.74,199.0,"[140, 24, 196, 59, 60, 35, 101, 154, 81, 119]"
12,12,196.35,196.0,"[57, 104, 95, 77, 127, 58, 23, 178, 19, 198, 114, 74]"
13,9,126.32,176.0,"[106, 125, 89, 65, 96, 29, 110, 37, 108]"
14,10,165.4,200.0,"[147, 135, 93, 199, 109, 28, 182, 75, 41, 91]"
15,8,133.21,198.0,"[1, 31, 113, 185, 92, 48, 169, 181]"
16,11,174.8,194.0,"[73, 183, 30, 34, 128, 142, 98, 159, 100, 13, 52]"
17,11,211.43,199.0,"[63, 44, 5, 3, 130, 11, 86, 131, 66, 50, 197]"
18,11,141.12,199.0,"[45, 32, 38, 84, 90, 138, 118, 88, 99, 111, 105]"
