Route_ID,Num_Customers,Travel_Distance,Max_Capacity_Used,Customer_Sequence
1,12,151.12,200.0,"[170, 134, 50, 156, 112, 168, 79, 29, 87, 42, 123, 48]"
2,9,177.92,200.0,"[148, 103, 197, 124, 141, 69, 200, 70, 162]"
3,12,207.91,200.0,"[32, 171, 65, 86, 115, 94, 51, 174, 136, 189, 147, 12]"
4,11,91.51,200.0,"[62, 76, 178, 173, 154, 24, 61, 100, 64, 27, 109]"
5,11,102.06,170.0,"[101, 144, 119, 166, 35, 126, 71, 9, 1, 99, 53]"
6,11,94.63,200.0,"[45, 41, 85, 80, 31, 25, 172, 77, 110, 20, 179]"
7,10,212.56,200.0,"[177, 157, 98, 8, 3, 88, 186, 127, 54, 18]"
8,13,147.89,200.0,"[113, 5, 10, 193, 46, 128, 106, 167, 34, 95, 158, 2, 175]"
9,12,151.08,200.0,"[183, 137, 81, 199, 184, 135, 37, 138, 131, 44, 102, 68]"
10,12,183.61,200.0,"[57, 60, 180, 84, 191, 125, 4, 82, 72, 190, 90, 67]"
11,10,104.21,180.0,"[73, 116, 129, 11, 43, 13, 155, 78, 39, 107]"
12,11,192.82,200.0,"[93, 55, 58, 185, 132, 7, 181, 117, 104, 161, 49]"
13,13,180.13,200.0,"[114, 159, 38, 150, 22, 151, 16, 140, 187, 142, 111, 63, 56]"
14,8,110.77,180.0,"[91, 164, 47, 160, 66, 6, 122, 139]"
15,12,121.04,200.0,"[133, 26, 152, 40, 153, 169, 89, 105, 15, 59, 198, 14]"
16,10,178.92,200.0,"[21, 23, 182, 75, 163, 194, 145, 195, 52, 92]"
17,11,132.04,200.0,"[118, 83, 143, 176, 36, 33, 121, 165, 188, 108, 17]"
18,12,103.41,200.0,"[149, 74, 28, 130, 96, 97, 196, 192, 19, 120, 30, 146]"
