Route_ID,Num_Customers,Travel_Distance,Max_Capacity_Used,Customer_Sequence
1,9,127.51362,144.0,"[88, 62, 19, 47, 36, 49, 64, 32, 70]"
2,10,88.8793,138.0,"[83, 45, 17, 84, 5, 6, 94, 96, 97, 13]"
3,11,106.91914,130.0,"[27, 69, 30, 51, 9, 71, 35, 34, 78, 33, 1]"
4,10,117.8399,108.0,"[2, 41, 22, 74, 73, 40, 53, 26, 54, 24]"
5,11,106.96449,188.0,"[28, 76, 12, 29, 81, 79, 3, 50, 77, 68, 80]"
6,10,107.77126,172.0,"[21, 72, 75, 56, 23, 67, 39, 25, 55, 4]"
7,11,112.05364,168.0,"[92, 98, 44, 16, 86, 38, 14, 37, 100, 91, 93]"
8,11,104.79071,182.0,"[95, 59, 99, 61, 85, 87, 57, 15, 43, 42, 58]"
9,9,103.71989,106.0,"[52, 7, 82, 18, 8, 46, 48, 60, 89]"
10,8,142.38613,122.0,"[31, 11, 63, 90, 10, 20, 66, 65]"
