Route_ID,Num_Customers,Travel_Distance,Max_Capacity_Used,Customer_Sequence
1,9,174.2,200.0,"[20, 148, 103, 197, 124, 141, 69, 200, 162]"
2,9,122.25,200.0,"[12, 164, 66, 147, 160, 47, 70, 91, 122]"
3,7,65.8,150.0,"[62, 131, 44, 102, 146, 68, 76]"
4,12,145.41,200.0,"[101, 144, 119, 166, 35, 55, 184, 199, 37, 81, 137, 183]"
5,11,194.05,200.0,"[135, 161, 104, 18, 54, 185, 132, 7, 181, 117, 49]"
6,11,111.44,200.0,"[73, 129, 11, 6, 139, 24, 61, 100, 64, 179, 109]"
7,11,92.76,190.0,"[45, 27, 154, 41, 85, 80, 31, 25, 172, 77, 110]"
8,12,179.76,200.0,"[57, 60, 82, 180, 84, 191, 125, 4, 72, 121, 17, 107]"
9,11,203.82,200.0,"[116, 32, 171, 65, 86, 115, 94, 51, 174, 136, 189]"
10,13,119.75,190.0,"[78, 155, 175, 13, 43, 2, 90, 126, 71, 9, 1, 99, 53]"
11,12,144.14,200.0,"[190, 5, 10, 193, 46, 128, 106, 167, 34, 95, 158, 39]"
12,13,110.45,200.0,"[30, 120, 19, 192, 196, 97, 14, 198, 59, 96, 130, 74, 149]"
13,11,206.23,200.0,"[93, 58, 177, 3, 88, 8, 186, 127, 98, 157, 138]"
14,13,180.13,200.0,"[114, 159, 38, 150, 22, 151, 16, 140, 187, 142, 111, 63, 56]"
15,10,178.92,200.0,"[21, 23, 182, 75, 163, 194, 145, 195, 52, 92]"
16,12,151.08,200.0,"[133, 170, 134, 50, 156, 112, 168, 79, 29, 87, 42, 123]"
17,11,138.27,200.0,"[113, 118, 83, 143, 176, 36, 33, 165, 188, 108, 67]"
18,12,125.11,200.0,"[178, 173, 48, 26, 152, 40, 153, 169, 89, 105, 15, 28]"
