Route_ID,Num_Customers,Travel_Distance,Max_Capacity_Used,Customer_Sequence
1,13,175.74,199.0,"[84, 199, 127, 118, 105, 69, 176, 113, 191, 58, 134, 87, 174]"
2,9,142.26,199.0,"[140, 54, 89, 139, 21, 166, 17, 30, 64]"
3,10,235.3,195.0,"[4, 169, 167, 61, 198, 106, 41, 55, 158, 154]"
4,10,93.59,200.0,"[182, 57, 133, 147, 40, 16, 98, 119, 161, 72]"
5,10,157.72,199.0,"[172, 197, 5, 62, 26, 159, 20, 46, 141, 185]"
6,13,272.7,198.0,"[153, 47, 200, 103, 110, 44, 95, 145, 80, 116, 83, 148, 36]"
7,10,206.91,199.0,"[92, 195, 31, 52, 74, 101, 192, 50, 157, 67]"
8,12,244.53,200.0,"[100, 9, 12, 59, 143, 173, 29, 188, 121, 115, 11, 75]"
9,12,297.38,200.0,"[88, 155, 144, 71, 137, 123, 13, 8, 60, 1, 97, 175]"
10,11,158.36,199.0,"[165, 85, 45, 56, 108, 38, 32, 23, 117, 129, 194]"
11,12,168.33,199.0,"[142, 48, 131, 24, 124, 43, 180, 3, 136, 90, 178, 39]"
12,9,206.01,199.0,"[152, 15, 7, 68, 190, 51, 111, 91, 126]"
13,13,237.61,199.0,"[42, 181, 35, 164, 104, 25, 138, 186, 135, 34, 76, 2, 120]"
14,13,130.41,194.0,"[163, 28, 6, 49, 14, 132, 78, 171, 130, 187, 150, 79, 96]"
15,11,186.14,193.0,"[37, 177, 65, 99, 94, 112, 114, 86, 81, 107, 82]"
16,10,191.34,198.0,"[156, 102, 179, 18, 196, 183, 184, 27, 22, 70]"
17,12,288.59,188.0,"[162, 63, 149, 170, 10, 77, 122, 73, 93, 193, 19, 146]"
18,10,209.89,200.0,"[128, 168, 53, 151, 160, 109, 189, 125, 33, 66]"
