Route_ID,Num_Customers,Travel_Distance,Max_Capacity_Used,Customer_Sequence
1,11,99.02,180.0,"[45, 178, 85, 80, 31, 25, 172, 77, 41, 20, 179]"
2,10,178.92,200.0,"[21, 23, 182, 75, 163, 194, 145, 195, 52, 92]"
3,11,204.37,200.0,"[32, 171, 65, 86, 115, 94, 51, 174, 136, 189, 91]"
4,11,165.83,200.0,"[93, 55, 58, 184, 199, 37, 138, 102, 146, 68, 76]"
5,13,110.07,200.0,"[113, 73, 129, 11, 6, 122, 139, 13, 175, 39, 107, 78, 155]"
6,9,169.57,200.0,"[148, 103, 197, 124, 141, 69, 200, 110, 162]"
7,13,180.13,200.0,"[114, 159, 38, 150, 22, 151, 16, 140, 187, 142, 111, 63, 56]"
8,12,151.27,200.0,"[170, 134, 50, 156, 112, 168, 79, 29, 87, 42, 123, 133]"
9,11,134.13,200.0,"[57, 118, 83, 143, 176, 36, 33, 121, 165, 188, 108]"
10,12,107.89,200.0,"[62, 120, 19, 192, 196, 97, 96, 130, 28, 74, 149, 30]"
11,12,195.19,200.0,"[161, 104, 18, 54, 185, 132, 7, 181, 117, 49, 81, 137]"
12,10,202.03,200.0,"[177, 3, 88, 8, 186, 127, 98, 157, 135, 183]"
13,8,115.89,190.0,"[164, 66, 147, 160, 47, 70, 12, 116]"
14,12,155.61,200.0,"[17, 67, 90, 2, 43, 193, 46, 10, 95, 158, 34, 190]"
15,10,100.53,190.0,"[131, 44, 173, 154, 24, 61, 100, 64, 27, 109]"
16,11,102.06,170.0,"[101, 144, 119, 166, 35, 126, 71, 9, 1, 99, 53]"
17,12,131.56,200.0,"[48, 26, 152, 40, 153, 14, 169, 89, 15, 105, 198, 59]"
18,12,203.28,200.0,"[5, 180, 84, 191, 125, 4, 82, 60, 72, 128, 106, 167]"
