Route_ID,Num_Customers,Travel_Distance,Max_Capacity_Used,Customer_Sequence
1,11,116.69298,199.0,"[69, 98, 88, 53, 78, 73, 79, 60, 55, 70, 68]"
2,6,69.33685,84.0,"[90, 81, 94, 93, 96, 54]"
3,9,140.98342,150.0,"[31, 29, 27, 28, 26, 30, 32, 34, 33]"
4,10,105.27227,197.0,"[64, 22, 19, 23, 21, 18, 48, 49, 20, 24]"
5,9,126.11734,140.0,"[38, 41, 72, 71, 67, 50, 62, 91, 80]"
6,8,96.79332,126.0,"[82, 99, 52, 87, 59, 86, 57, 66]"
7,9,98.4022,159.0,"[61, 42, 44, 43, 40, 37, 35, 36, 39]"
8,10,100.97982,200.0,"[11, 12, 14, 47, 17, 16, 15, 13, 9, 10]"
9,8,150.62867,136.0,"[65, 83, 25, 77, 75, 97, 58, 74]"
10,11,101.80103,193.0,"[2, 6, 7, 8, 5, 3, 1, 45, 46, 4, 100]"
11,9,123.46919,140.0,"[92, 95, 84, 85, 63, 51, 76, 89, 56]"
