Route_ID,Num_Customers,Travel_Distance,Max_Capacity_Used,Customer_Sequence
1,10,57.78825,150.0,"[67, 65, 62, 74, 72, 61, 64, 68, 66, 69]"
2,11,50.80358,170.0,"[20, 24, 25, 27, 29, 30, 28, 26, 23, 22, 21]"
3,8,95.8847,190.0,"[13, 17, 18, 19, 15, 16, 14, 12]"
4,10,128.04031,200.0,"[81, 78, 76, 71, 70, 73, 77, 79, 80, 63]"
5,13,64.80744,160.0,"[43, 42, 41, 40, 44, 46, 45, 48, 51, 50, 52, 49, 47]"
6,12,59.61803,180.0,"[5, 3, 7, 8, 10, 11, 9, 6, 4, 2, 1, 75]"
7,10,76.06953,170.0,"[90, 87, 86, 83, 82, 84, 85, 88, 89, 91]"
8,9,95.94311,190.0,"[98, 96, 95, 94, 92, 93, 97, 100, 99]"
9,8,101.88255,200.0,"[57, 55, 54, 53, 56, 58, 60, 59]"
10,9,97.22714,200.0,"[32, 33, 31, 35, 37, 38, 39, 36, 34]"
