Route_ID,Num_Customers,Travel_Distance,Max_Capacity_Used,Customer_Sequence
1,9,190.64,196.0,"[156, 51, 26, 126, 21, 123, 124, 181, 111]"
2,9,123.15,194.0,"[46, 164, 54, 141, 151, 125, 110, 37, 39]"
3,13,208.77,194.0,"[106, 89, 94, 12, 82, 47, 95, 178, 23, 19, 198, 114, 74]"
4,11,169.59,200.0,"[55, 7, 150, 36, 68, 5, 130, 11, 79, 14, 197]"
5,10,217.19,199.0,"[146, 16, 115, 162, 171, 170, 187, 78, 139, 168]"
6,14,193.2,200.0,"[155, 67, 137, 25, 116, 61, 117, 49, 180, 195, 27, 133, 80, 75]"
7,15,258.09,199.0,"[196, 62, 20, 98, 163, 6, 189, 177, 102, 77, 127, 58, 22, 174, 97]"
8,10,104.68,197.0,"[140, 24, 59, 32, 38, 84, 90, 138, 52, 45]"
9,11,211.13,197.0,"[63, 44, 3, 160, 86, 131, 66, 50, 158, 172, 18]"
10,11,191.4,200.0,"[73, 145, 192, 53, 2, 17, 76, 42, 8, 122, 161]"
11,9,148.94,198.0,"[87, 92, 48, 169, 185, 148, 113, 31, 1]"
12,14,238.34,199.0,"[157, 107, 184, 153, 166, 33, 70, 129, 191, 85, 43, 65, 29, 96]"
13,13,241.06,187.0,"[4, 188, 15, 71, 193, 186, 144, 179, 190, 167, 147, 72, 56]"
14,10,151.78,179.0,"[132, 120, 143, 176, 165, 69, 134, 103, 101, 119]"
15,11,193.02,199.0,"[135, 93, 199, 109, 28, 64, 182, 41, 91, 9, 175]"
16,10,167.13,198.0,"[57, 173, 104, 100, 136, 159, 13, 10, 83, 108]"
17,11,198.62,191.0,"[183, 30, 34, 194, 142, 128, 40, 121, 154, 81, 149]"
18,9,175.24,186.0,"[35, 118, 152, 88, 99, 200, 112, 60, 105]"
