Route_ID,Num_Customers,Travel_Distance,Max_Capacity_Used,Customer_Sequence
1,13,195.83,199.0,"[54, 121, 155, 115, 144, 11, 71, 105, 69, 113, 84, 97, 174]"
2,12,185.21,195.0,"[100, 37, 177, 65, 99, 94, 151, 112, 50, 157, 33, 89]"
3,12,103.5,197.0,"[140, 66, 9, 12, 59, 143, 188, 29, 139, 21, 166, 82]"
4,11,133.34,195.0,"[172, 197, 5, 62, 26, 159, 46, 138, 186, 135, 120]"
5,11,168.69,200.0,"[156, 7, 179, 18, 68, 44, 90, 103, 200, 39, 49]"
6,12,126.32,199.0,"[153, 47, 43, 180, 136, 3, 124, 15, 183, 196, 102, 48]"
7,10,213.0,198.0,"[128, 168, 53, 101, 192, 160, 109, 189, 125, 173]"
8,8,125.72,195.0,"[4, 92, 154, 195, 41, 129, 22, 16]"
9,9,96.63,199.0,"[142, 182, 57, 133, 147, 40, 98, 161, 72]"
10,13,217.63,199.0,"[169, 61, 198, 91, 145, 148, 116, 95, 83, 110, 178, 36, 131]"
11,14,194.9,197.0,"[6, 132, 14, 79, 93, 146, 170, 19, 193, 73, 149, 63, 162, 78]"
12,9,137.66,195.0,"[87, 88, 176, 58, 134, 17, 30, 64, 67]"
13,12,201.89,200.0,"[194, 55, 117, 38, 32, 23, 74, 52, 31, 106, 70, 119]"
14,10,206.27,200.0,"[24, 152, 184, 190, 51, 111, 80, 27, 167, 126]"
15,11,183.22,199.0,"[20, 122, 35, 164, 104, 25, 10, 77, 181, 141, 185]"
16,11,236.71,196.0,"[191, 127, 199, 118, 137, 123, 13, 75, 60, 1, 8]"
17,10,143.79,195.0,"[107, 165, 85, 45, 56, 108, 114, 86, 81, 158]"
18,12,138.44,200.0,"[150, 187, 163, 28, 171, 130, 96, 42, 2, 76, 34, 175]"
