Route_ID,Num_Customers,Travel_Distance,Max_Capacity_Used,Customer_Sequence
1,12,124.26,200.0,"[178, 133, 26, 152, 40, 153, 169, 89, 105, 15, 59, 198]"
2,11,128.74,200.0,"[20, 41, 85, 80, 13, 43, 2, 90, 67, 39, 107]"
3,10,178.92,200.0,"[21, 23, 182, 75, 163, 194, 145, 195, 52, 92]"
4,12,109.05,190.0,"[30, 120, 19, 192, 196, 97, 14, 96, 130, 28, 74, 149]"
5,10,133.21,190.0,"[78, 118, 83, 143, 176, 36, 33, 121, 165, 17]"
6,8,99.34,120.0,"[113, 73, 12, 129, 11, 6, 122, 139]"
7,9,93.78,190.0,"[62, 131, 44, 102, 146, 68, 76, 61, 179]"
8,12,151.17,200.0,"[48, 170, 134, 50, 156, 112, 168, 79, 29, 87, 42, 123]"
9,11,102.06,170.0,"[101, 144, 119, 166, 35, 126, 71, 9, 1, 99, 53]"
10,10,202.63,180.0,"[32, 171, 65, 86, 115, 94, 51, 174, 136, 189]"
11,8,115.18,200.0,"[116, 164, 66, 147, 160, 47, 91, 70]"
12,11,194.19,190.0,"[93, 161, 104, 18, 54, 185, 132, 7, 181, 117, 49]"
13,13,180.13,200.0,"[114, 159, 38, 150, 22, 151, 16, 140, 187, 142, 111, 63, 56]"
14,11,179.49,180.0,"[57, 60, 82, 180, 84, 191, 125, 4, 72, 188, 108]"
15,11,144.02,180.0,"[190, 5, 10, 193, 46, 128, 106, 167, 34, 95, 158]"
16,11,97.45,190.0,"[45, 27, 173, 154, 24, 31, 25, 172, 77, 110, 162]"
17,10,170.63,200.0,"[148, 103, 197, 124, 141, 69, 200, 100, 64, 109]"
18,11,166.38,150.0,"[155, 175, 135, 58, 184, 199, 37, 81, 138, 137, 183]"
19,9,204.84,200.0,"[55, 177, 3, 88, 8, 186, 127, 98, 157]"
