Route_ID,Num_Customers,Travel_Distance,Max_Capacity_Used,Customer_Sequence
1,9,140.38025,150.0,"[83, 24, 23, 76, 89, 63, 85, 51, 91]"
2,8,94.565,115.0,"[92, 95, 62, 50, 67, 84, 56, 66]"
3,10,120.50131,184.0,"[98, 60, 73, 78, 79, 7, 46, 4, 100, 70]"
4,9,101.02827,157.0,"[2, 45, 1, 3, 5, 8, 6, 55, 68]"
5,12,109.15921,190.0,"[61, 42, 43, 44, 40, 38, 41, 72, 71, 93, 94, 80]"
6,8,100.99513,141.0,"[69, 88, 53, 10, 13, 16, 17, 47]"
7,12,117.75693,196.0,"[12, 14, 15, 11, 9, 87, 59, 74, 86, 52, 82, 90]"
8,10,105.44462,200.0,"[64, 20, 22, 49, 19, 18, 48, 21, 25, 57]"
9,7,95.0052,132.0,"[81, 39, 36, 35, 37, 54, 96]"
10,6,134.10769,109.0,"[65, 99, 97, 75, 58, 77]"
11,9,142.72782,150.0,"[33, 27, 30, 32, 28, 26, 29, 31, 34]"
