Route_ID,Num_Customers,Travel_Distance,Max_Capacity_Used,Customer_Sequence
1,6,86.77278,60.0,"[92, 42, 15, 87, 57, 97]"
2,8,95.32472,98.0,"[27, 69, 76, 79, 3, 54, 24, 80]"
3,6,75.20345,102.0,"[95, 98, 16, 86, 91, 100]"
4,6,132.48994,61.0,"[36, 47, 19, 8, 46, 17]"
5,5,100.86701,84.0,"[14, 44, 38, 43, 13]"
6,5,110.15853,93.0,"[39, 23, 67, 55, 25]"
7,4,68.42601,57.0,"[31, 88, 7, 10]"
8,6,103.89808,71.0,"[62, 11, 90, 20, 32, 70]"
9,6,87.12985,57.0,"[2, 21, 73, 41, 56, 4]"
10,6,74.50436,121.0,"[5, 83, 61, 85, 37, 93]"
11,2,35.64697,12.0,"[52, 6]"
12,5,118.41699,110.0,"[65, 71, 81, 50, 68]"
13,4,45.38764,75.0,"[59, 99, 94, 96]"
14,5,60.59932,87.0,"[72, 75, 22, 74, 58]"
15,6,109.12702,59.0,"[33, 29, 78, 34, 35, 77]"
16,5,95.88676,82.0,"[30, 51, 9, 66, 1]"
17,6,87.97649,69.0,"[45, 82, 18, 84, 60, 89]"
18,5,55.637,75.0,"[28, 12, 40, 53, 26]"
19,4,107.34572,85.0,"[63, 64, 49, 48]"
