Route_ID,Num_Customers,Travel_Distance,Max_Capacity_Used,Customer_Sequence
1,10,140.38,200.0,"[46, 106, 89, 125, 65, 96, 29, 174, 110, 37]"
2,12,232.17,199.0,"[4, 188, 15, 54, 151, 129, 186, 144, 191, 43, 70, 107]"
3,11,178.77,189.0,"[87, 185, 92, 48, 8, 122, 42, 161, 146, 105, 24]"
4,12,262.57,198.0,"[63, 44, 3, 5, 86, 49, 195, 27, 25, 79, 116, 197]"
5,9,107.7,200.0,"[132, 69, 165, 124, 134, 103, 154, 81, 149]"
6,11,161.63,197.0,"[140, 57, 19, 178, 23, 22, 47, 82, 74, 83, 45]"
7,12,211.69,186.0,"[18, 158, 50, 66, 131, 11, 130, 160, 117, 180, 61, 75]"
8,12,278.76,180.0,"[157, 184, 153, 71, 166, 193, 33, 167, 179, 190, 72, 56]"
9,15,295.74,197.0,"[164, 141, 85, 94, 12, 58, 127, 95, 6, 189, 177, 102, 77, 198, 114]"
10,11,164.12,195.0,"[155, 55, 67, 41, 36, 68, 137, 150, 7, 175, 9]"
11,10,188.11,197.0,"[145, 121, 192, 53, 2, 76, 17, 200, 40, 112]"
12,9,146.44,192.0,"[1, 143, 176, 31, 113, 169, 181, 101, 119]"
13,11,229.55,196.0,"[196, 30, 20, 163, 136, 142, 159, 100, 173, 10, 52]"
14,10,247.01,200.0,"[168, 115, 16, 162, 171, 170, 187, 139, 78, 148]"
15,9,182.58,198.0,"[120, 51, 26, 123, 21, 126, 156, 172, 14]"
16,11,217.6,198.0,"[147, 199, 93, 135, 133, 64, 28, 109, 80, 182, 91]"
17,13,187.91,197.0,"[35, 99, 34, 128, 98, 194, 62, 118, 152, 183, 88, 111, 60]"
18,12,150.42,194.0,"[73, 59, 32, 90, 38, 104, 13, 84, 138, 39, 97, 108]"
