Route_ID,Num_Customers,Travel_Distance,Max_Capacity_Used,Customer_Sequence
1,11,162.02,196.0,"[140, 13, 38, 84, 32, 138, 90, 118, 88, 183, 59]"
2,11,177.09,191.0,"[132, 67, 55, 150, 137, 36, 68, 14, 175, 56, 9]"
3,13,235.82,199.0,"[4, 188, 15, 184, 153, 71, 193, 144, 191, 43, 65, 110, 108]"
4,11,294.74,199.0,"[2, 115, 16, 8, 122, 76, 17, 42, 200, 40, 128]"
5,11,174.0,200.0,"[87, 35, 112, 121, 146, 169, 181, 53, 192, 111, 105]"
6,10,214.61,195.0,"[81, 168, 139, 187, 162, 171, 170, 78, 148, 119]"
7,10,178.21,192.0,"[155, 7, 41, 80, 64, 133, 109, 182, 28, 91]"
8,13,271.89,179.0,"[157, 72, 147, 199, 93, 135, 166, 33, 167, 186, 179, 190, 107]"
9,13,255.67,193.0,"[106, 85, 94, 12, 19, 114, 39, 37, 29, 96, 174, 45, 24]"
10,11,224.09,197.0,"[57, 173, 104, 100, 136, 6, 189, 177, 102, 77, 198]"
11,9,184.68,196.0,"[18, 120, 51, 26, 123, 21, 126, 156, 172]"
12,9,146.69,196.0,"[73, 145, 161, 48, 92, 185, 124, 103, 154]"
13,14,261.45,200.0,"[30, 20, 98, 163, 95, 178, 23, 58, 127, 22, 47, 82, 74, 97]"
14,12,232.37,198.0,"[63, 44, 3, 5, 117, 86, 195, 180, 25, 116, 79, 197]"
15,9,162.53,187.0,"[46, 54, 89, 125, 151, 129, 141, 164, 70]"
16,12,257.8,195.0,"[149, 158, 50, 66, 131, 160, 130, 11, 49, 61, 27, 75]"
17,9,140.19,200.0,"[1, 143, 176, 113, 31, 165, 69, 134, 101]"
18,12,186.74,200.0,"[196, 60, 152, 99, 34, 62, 194, 142, 159, 10, 83, 52]"
