Route_ID,Num_Customers,Travel_Distance,Max_Capacity_Used,Customer_Sequence
1,8,91.80977,101.0,"[90, 61, 81, 96, 94, 93, 72, 54]"
2,11,124.42452,141.0,"[71, 67, 62, 50, 63, 85, 84, 92, 56, 91, 80]"
3,10,122.45681,180.0,"[65, 83, 57, 24, 22, 49, 21, 23, 25, 77]"
4,11,116.69298,199.0,"[69, 98, 88, 53, 78, 73, 79, 60, 55, 70, 68]"
5,11,96.01488,193.0,"[2, 6, 7, 8, 46, 4, 45, 5, 3, 1, 100]"
6,10,104.35962,200.0,"[41, 42, 44, 43, 40, 38, 37, 35, 36, 39]"
7,10,126.38843,166.0,"[82, 99, 52, 86, 87, 59, 97, 75, 58, 74]"
8,9,124.15223,188.0,"[64, 51, 76, 89, 18, 48, 19, 20, 66]"
9,10,97.22714,200.0,"[12, 14, 47, 17, 16, 15, 13, 9, 11, 10]"
10,10,136.2947,156.0,"[95, 33, 30, 28, 26, 27, 29, 31, 34, 32]"
