Route_ID,Num_Customers,Travel_Distance,Max_Capacity_Used,Customer_Sequence
1,12,116.48,199.0,"[140, 54, 9, 12, 59, 173, 188, 29, 139, 21, 166, 154]"
2,10,204.82,197.0,"[142, 152, 196, 184, 190, 51, 111, 145, 91, 126]"
3,10,93.59,200.0,"[182, 57, 133, 147, 40, 16, 98, 119, 161, 72]"
4,9,212.01,186.0,"[4, 169, 61, 198, 22, 70, 106, 195, 92]"
5,10,152.99,199.0,"[163, 47, 200, 103, 90, 110, 178, 36, 124, 48]"
6,13,298.04,200.0,"[100, 89, 121, 144, 137, 123, 13, 8, 1, 60, 75, 127, 113]"
7,9,181.48,200.0,"[88, 155, 115, 11, 71, 87, 30, 64, 67]"
8,11,188.62,198.0,"[162, 181, 35, 164, 104, 25, 10, 77, 122, 141, 185]"
9,13,197.12,198.0,"[153, 131, 43, 180, 136, 3, 44, 116, 95, 83, 148, 27, 167]"
10,10,124.81,199.0,"[156, 15, 179, 7, 68, 18, 80, 183, 102, 24]"
11,13,152.2,195.0,"[42, 172, 197, 5, 62, 159, 20, 46, 138, 186, 120, 149, 39]"
12,9,214.04,199.0,"[128, 168, 53, 112, 108, 114, 86, 55, 82]"
13,13,150.24,200.0,"[28, 6, 49, 14, 132, 78, 171, 130, 96, 34, 76, 2, 175]"
14,11,202.2,199.0,"[194, 31, 52, 74, 101, 192, 160, 109, 157, 33, 143]"
15,12,191.07,200.0,"[66, 177, 65, 99, 94, 151, 125, 189, 50, 85, 81, 107]"
16,11,163.59,198.0,"[37, 165, 45, 56, 38, 32, 23, 117, 129, 41, 158]"
17,12,229.86,195.0,"[150, 187, 79, 63, 93, 193, 19, 170, 146, 73, 26, 135]"
18,12,175.89,196.0,"[84, 199, 118, 105, 69, 176, 191, 58, 134, 17, 97, 174]"
