Route_ID,Num_Customers,Travel_Distance,Max_Capacity_Used,Customer_Sequence
1,11,151.07,190.0,"[170, 134, 50, 156, 112, 168, 79, 29, 87, 42, 123]"
2,10,202.42,190.0,"[177, 3, 88, 8, 186, 127, 98, 157, 137, 183]"
3,11,102.06,170.0,"[101, 144, 119, 166, 35, 126, 71, 9, 1, 99, 53]"
4,10,178.92,200.0,"[21, 23, 182, 75, 163, 194, 145, 195, 52, 92]"
5,10,202.63,180.0,"[32, 171, 65, 86, 115, 94, 51, 174, 136, 189]"
6,13,180.13,200.0,"[114, 159, 38, 150, 22, 151, 16, 140, 187, 142, 111, 63, 56]"
7,7,162.61,140.0,"[148, 103, 197, 124, 141, 69, 200]"
8,11,144.02,180.0,"[190, 5, 10, 193, 46, 128, 106, 167, 34, 95, 158]"
9,12,109.05,190.0,"[30, 120, 19, 192, 196, 97, 14, 96, 130, 28, 74, 149]"
10,9,142.95,150.0,"[93, 55, 135, 58, 184, 199, 37, 81, 138]"
11,9,178.35,150.0,"[60, 82, 180, 84, 191, 125, 4, 72, 17]"
12,11,60.95,170.0,"[113, 155, 78, 175, 13, 43, 2, 90, 67, 39, 107]"
13,8,93.79,130.0,"[73, 116, 12, 129, 11, 6, 122, 139]"
14,7,115.16,180.0,"[164, 66, 147, 160, 47, 91, 70]"
15,11,134.13,200.0,"[57, 118, 83, 143, 176, 36, 33, 121, 165, 188, 108]"
16,10,93.59,200.0,"[20, 41, 85, 80, 31, 25, 172, 77, 110, 162]"
17,10,193.82,180.0,"[161, 104, 18, 54, 185, 132, 7, 181, 117, 49]"
18,12,122.56,200.0,"[133, 48, 26, 152, 40, 153, 169, 89, 105, 15, 59, 198]"
19,11,70.57,180.0,"[45, 178, 27, 173, 154, 24, 61, 100, 64, 179, 109]"
20,7,65.8,150.0,"[62, 131, 44, 102, 146, 68, 76]"
