Route_ID,Num_Customers,Travel_Distance,Max_Capacity_Used,Customer_Sequence
1,8,122.75963,114.0,"[92, 95, 64, 99, 52, 86, 57, 74]"
2,8,127.54476,120.0,"[72, 71, 81, 41, 54, 96, 94, 93]"
3,7,108.96624,147.0,"[2, 45, 5, 7, 79, 55, 68]"
4,7,129.29309,70.0,"[63, 62, 67, 84, 51, 85, 91]"
5,4,73.45077,46.0,"[90, 53, 66, 56]"
6,9,121.02107,149.0,"[98, 14, 47, 15, 16, 9, 10, 13, 17]"
7,8,143.05359,171.0,"[83, 19, 23, 18, 22, 49, 20, 77]"
8,10,134.62325,183.0,"[31, 29, 27, 30, 28, 26, 32, 34, 50, 80]"
9,5,81.70051,95.0,"[69, 88, 78, 73, 60]"
10,9,142.50703,188.0,"[65, 82, 12, 11, 87, 59, 97, 75, 58]"
11,9,144.53492,132.0,"[42, 61, 8, 6, 46, 4, 3, 1, 100]"
12,9,132.928,193.0,"[39, 36, 44, 38, 40, 37, 35, 43, 70]"
13,7,167.05303,116.0,"[33, 76, 89, 48, 21, 25, 24]"
