Route_ID,Num_Customers,Travel_Distance,Max_Capacity_Used,Customer_Sequence
1,13,153.42,199.0,"[60, 99, 88, 183, 34, 194, 62, 13, 84, 38, 118, 32, 138]"
2,13,218.24,195.0,"[67, 180, 61, 117, 160, 86, 49, 195, 27, 133, 64, 80, 41]"
3,14,225.1,200.0,"[56, 184, 166, 33, 71, 179, 144, 186, 193, 153, 190, 167, 72, 157]"
4,10,176.21,197.0,"[145, 121, 192, 53, 76, 2, 17, 200, 40, 112]"
5,10,179.46,198.0,"[146, 48, 92, 187, 78, 139, 168, 123, 148, 103]"
6,11,125.37,194.0,"[132, 155, 63, 44, 68, 116, 36, 137, 150, 55, 7]"
7,10,213.48,199.0,"[124, 161, 16, 115, 162, 171, 170, 122, 8, 42]"
8,12,169.23,198.0,"[188, 15, 70, 129, 191, 85, 43, 65, 96, 29, 110, 37]"
9,10,168.51,190.0,"[107, 147, 135, 199, 93, 109, 28, 182, 75, 91]"
10,15,180.45,200.0,"[106, 89, 94, 12, 82, 47, 22, 23, 178, 19, 198, 114, 74, 39, 108]"
11,9,82.52,193.0,"[105, 73, 111, 35, 101, 154, 81, 149, 119]"
12,9,113.51,196.0,"[9, 175, 4, 151, 141, 125, 54, 164, 46]"
13,7,67.84,165.0,"[140, 24, 196, 59, 52, 45, 97]"
14,13,193.89,196.0,"[152, 30, 128, 142, 98, 20, 163, 136, 100, 159, 104, 10, 90]"
15,12,192.55,198.0,"[25, 5, 3, 130, 11, 131, 66, 50, 172, 158, 79, 14]"
16,9,119.32,199.0,"[87, 181, 169, 185, 113, 31, 165, 1, 134]"
17,11,158.58,197.0,"[69, 143, 21, 26, 126, 51, 156, 176, 120, 18, 197]"
18,12,220.48,199.0,"[83, 57, 173, 95, 102, 6, 189, 177, 77, 127, 58, 174]"
