Route_ID,Num_Customers,Travel_Distance,Max_Capacity_Used,Customer_Sequence
1,7,125.77566,98.0,"[42, 61, 81, 90, 68, 54, 96]"
2,9,136.53697,144.0,"[14, 47, 73, 78, 79, 7, 55, 100, 70]"
3,9,141.6933,188.0,"[36, 44, 40, 38, 41, 43, 35, 37, 72]"
4,9,125.53553,167.0,"[65, 83, 19, 23, 18, 48, 21, 25, 77]"
5,8,109.05075,151.0,"[69, 88, 53, 9, 10, 13, 17, 12]"
6,8,119.41582,128.0,"[85, 63, 76, 51, 22, 49, 20, 24]"
7,7,146.5719,78.0,"[92, 95, 62, 29, 30, 32, 89]"
8,8,129.68408,126.0,"[91, 64, 99, 86, 57, 74, 59, 52]"
9,10,139.08468,189.0,"[33, 28, 27, 26, 31, 34, 50, 93, 94, 80]"
10,11,117.17802,196.0,"[2, 45, 1, 3, 5, 8, 6, 46, 4, 60, 98]"
11,6,120.8313,86.0,"[39, 71, 67, 84, 56, 66]"
12,8,143.38883,173.0,"[82, 11, 15, 16, 87, 97, 75, 58]"
