Route_ID,Num_Customers,Travel_Distance,Max_Capacity_Used,Customer_Sequence
1,13,192.55,188.0,"[114, 19, 178, 23, 22, 82, 47, 58, 127, 77, 198, 74, 108]"
2,11,118.52,182.0,"[132, 155, 67, 55, 7, 41, 157, 72, 56, 175, 9]"
3,8,93.04,194.0,"[149, 81, 1, 69, 134, 103, 124, 154]"
4,12,203.08,198.0,"[63, 68, 44, 158, 120, 176, 51, 126, 156, 172, 79, 197]"
5,9,144.36,200.0,"[165, 31, 113, 185, 169, 181, 121, 111, 101]"
6,13,235.34,190.0,"[13, 20, 98, 163, 136, 95, 177, 6, 189, 102, 10, 83, 45]"
7,15,260.54,197.0,"[4, 188, 15, 184, 166, 153, 71, 193, 33, 186, 144, 179, 190, 167, 70]"
8,12,171.4,197.0,"[87, 35, 145, 112, 30, 34, 62, 194, 142, 128, 88, 59]"
9,10,163.61,200.0,"[150, 137, 36, 5, 3, 117, 180, 80, 182, 75]"
10,10,209.55,198.0,"[146, 16, 115, 162, 170, 171, 122, 42, 53, 192]"
11,10,204.36,195.0,"[143, 26, 123, 21, 168, 139, 187, 78, 148, 119]"
12,10,175.4,188.0,"[89, 106, 125, 151, 129, 191, 43, 65, 141, 164]"
13,11,207.3,198.0,"[92, 48, 161, 8, 76, 2, 17, 200, 40, 183, 105]"
14,13,250.66,196.0,"[147, 135, 93, 199, 109, 64, 133, 195, 27, 49, 61, 28, 107]"
15,10,135.82,193.0,"[57, 173, 100, 159, 104, 84, 32, 138, 52, 24]"
16,12,232.75,200.0,"[18, 14, 50, 66, 131, 86, 160, 130, 11, 116, 25, 91]"
17,10,181.98,199.0,"[46, 54, 85, 94, 12, 96, 29, 37, 110, 174]"
18,11,125.95,200.0,"[140, 196, 73, 60, 99, 152, 118, 38, 90, 39, 97]"
