Route_ID,Num_Customers,Travel_Distance,Max_Capacity_Used,Customer_Sequence
1,11,198.71,197.0,"[165, 85, 45, 56, 108, 38, 32, 74, 52, 106, 70]"
2,10,93.59,200.0,"[182, 57, 133, 147, 40, 16, 98, 119, 161, 72]"
3,13,155.87,194.0,"[163, 28, 63, 149, 20, 62, 159, 46, 138, 186, 135, 120, 39]"
4,12,153.67,194.0,"[84, 199, 127, 176, 69, 113, 134, 58, 191, 87, 17, 174]"
5,11,80.2,198.0,"[4, 92, 142, 153, 6, 132, 78, 171, 130, 187, 150]"
6,10,183.22,200.0,"[42, 172, 197, 5, 26, 164, 181, 141, 185, 175]"
7,10,263.49,196.0,"[88, 105, 118, 71, 144, 123, 137, 13, 75, 30]"
8,12,122.29,190.0,"[140, 100, 37, 89, 143, 173, 188, 29, 139, 21, 166, 82]"
9,10,171.39,200.0,"[131, 180, 43, 3, 136, 22, 129, 41, 194, 158]"
10,11,230.28,198.0,"[48, 124, 102, 184, 190, 51, 111, 95, 44, 80, 126]"
11,10,119.28,200.0,"[24, 156, 196, 183, 179, 15, 18, 68, 7, 178]"
12,10,211.44,200.0,"[177, 128, 99, 94, 53, 101, 192, 50, 33, 66]"
13,12,251.09,199.0,"[49, 14, 47, 200, 103, 90, 110, 79, 96, 34, 76, 2]"
14,10,177.26,197.0,"[195, 31, 23, 117, 114, 86, 55, 81, 107, 154]"
15,12,243.65,199.0,"[169, 152, 167, 27, 61, 198, 91, 145, 116, 148, 83, 36]"
16,13,296.62,196.0,"[162, 170, 104, 25, 35, 122, 77, 10, 73, 93, 193, 19, 146]"
17,11,223.3,200.0,"[54, 155, 115, 121, 11, 8, 60, 1, 97, 64, 67]"
18,12,195.62,200.0,"[9, 12, 59, 65, 168, 151, 160, 112, 109, 189, 125, 157]"
