Route_ID,Num_Customers,Travel_Distance,Max_Capacity_Used,Customer_Sequence
1,9,109.97336,120.0,"[95, 62, 63, 85, 76, 51, 84, 56, 66]"
2,10,131.85046,200.0,"[42, 44, 39, 40, 36, 38, 41, 43, 37, 35]"
3,10,132.23449,184.0,"[65, 83, 64, 19, 23, 21, 18, 48, 25, 77]"
4,9,109.36513,160.0,"[69, 98, 88, 53, 12, 10, 9, 13, 17]"
5,8,119.86481,125.0,"[92, 61, 81, 90, 94, 96, 54, 68]"
6,10,120.09921,161.0,"[82, 52, 99, 86, 57, 22, 49, 20, 24, 91]"
7,9,132.34835,168.0,"[15, 16, 47, 78, 73, 79, 60, 55, 70]"
8,8,151.83792,161.0,"[14, 11, 87, 59, 75, 97, 58, 74]"
9,11,109.7512,193.0,"[2, 45, 5, 8, 7, 6, 46, 4, 3, 1, 100]"
10,9,139.64374,127.0,"[72, 71, 67, 30, 32, 34, 50, 93, 80]"
11,7,167.7646,125.0,"[33, 31, 29, 27, 28, 26, 89]"
