Route_ID,Num_Customers,Travel_Distance,Max_Capacity_Used,Customer_Sequence
1,8,124.73655,129.0,"[26, 39, 23, 67, 55, 24, 29, 3]"
2,8,99.21923,113.0,"[27, 69, 30, 9, 66, 20, 51, 1]"
3,7,91.54405,92.0,"[2, 22, 75, 56, 4, 25, 54]"
4,6,100.62418,103.0,"[50, 33, 76, 79, 10, 31]"
5,7,139.74534,85.0,"[36, 64, 49, 63, 90, 32, 70]"
6,8,134.69746,116.0,"[71, 65, 78, 34, 35, 81, 77, 28]"
7,10,96.86094,103.0,"[42, 43, 15, 57, 41, 74, 72, 73, 21, 58]"
8,10,120.2655,150.0,"[7, 19, 11, 8, 46, 47, 48, 82, 18, 89]"
9,12,108.3986,200.0,"[92, 98, 14, 44, 38, 86, 16, 61, 85, 91, 100, 37]"
10,6,45.9873,119.0,"[94, 96, 95, 97, 87, 13]"
11,6,68.85232,68.0,"[60, 45, 83, 5, 99, 6]"
12,7,99.94734,96.0,"[52, 62, 88, 84, 17, 93, 59]"
13,5,61.79612,84.0,"[40, 53, 12, 68, 80]"
