Route_ID,Num_Customers,Travel_Distance,Max_Capacity_Used,Customer_Sequence
1,10,208.77,198.0,"[63, 44, 3, 86, 131, 11, 130, 25, 116, 91]"
2,12,260.36,199.0,"[155, 67, 36, 5, 64, 109, 28, 80, 182, 167, 70, 107]"
3,13,257.15,194.0,"[157, 93, 199, 135, 133, 27, 195, 49, 160, 117, 180, 61, 75]"
4,12,242.19,199.0,"[35, 32, 38, 62, 84, 118, 152, 88, 183, 40, 99, 45]"
5,10,234.35,196.0,"[168, 92, 48, 185, 31, 169, 161, 42, 53, 192]"
6,11,183.23,198.0,"[132, 14, 18, 143, 176, 165, 124, 181, 111, 59, 97]"
7,12,251.79,170.0,"[4, 15, 71, 193, 33, 186, 144, 179, 190, 147, 72, 56]"
8,11,228.2,198.0,"[158, 51, 50, 66, 69, 1, 134, 103, 101, 154, 119]"
9,11,201.4,199.0,"[55, 7, 41, 150, 137, 68, 79, 156, 172, 197, 81]"
10,12,239.17,193.0,"[196, 194, 20, 163, 136, 142, 159, 100, 13, 10, 198, 108]"
11,13,273.49,184.0,"[73, 30, 128, 34, 98, 6, 189, 177, 102, 77, 127, 58, 114]"
12,10,174.9,200.0,"[140, 57, 173, 104, 95, 90, 138, 83, 52, 24]"
13,12,231.7,191.0,"[106, 85, 191, 94, 12, 19, 178, 23, 22, 47, 82, 74]"
14,9,165.44,197.0,"[46, 164, 54, 89, 175, 9, 174, 110, 37]"
15,11,206.02,199.0,"[87, 145, 121, 2, 8, 76, 17, 200, 112, 60, 105]"
16,13,293.37,199.0,"[188, 184, 153, 166, 129, 141, 151, 125, 39, 29, 96, 43, 65]"
17,10,218.63,199.0,"[146, 122, 115, 16, 162, 171, 170, 187, 78, 139]"
18,8,172.25,200.0,"[120, 26, 123, 21, 126, 148, 113, 149]"
