Route_ID,Num_Customers,Travel_Distance,Max_Capacity_Used,Customer_Sequence
1,9,186.63,199.0,"[195, 129, 31, 52, 74, 114, 55, 41, 194]"
2,10,93.59,200.0,"[182, 57, 133, 147, 40, 16, 98, 119, 161, 72]"
3,10,218.85,197.0,"[152, 167, 27, 190, 51, 111, 91, 145, 80, 126]"
4,13,174.41,199.0,"[84, 199, 127, 118, 105, 69, 176, 113, 134, 58, 191, 87, 174]"
5,9,110.43,200.0,"[48, 15, 18, 68, 124, 43, 180, 3, 136]"
6,12,152.54,198.0,"[165, 85, 45, 56, 108, 38, 32, 23, 117, 86, 81, 107]"
7,10,225.5,200.0,"[4, 92, 169, 61, 198, 22, 106, 70, 158, 154]"
8,9,169.29,199.0,"[54, 155, 115, 121, 11, 17, 30, 64, 67]"
9,11,218.18,196.0,"[177, 65, 168, 99, 94, 151, 53, 101, 192, 50, 157]"
10,12,183.14,199.0,"[42, 197, 10, 25, 104, 164, 35, 77, 122, 181, 141, 96]"
11,12,104.3,200.0,"[140, 89, 9, 12, 59, 143, 188, 29, 139, 21, 166, 82]"
12,12,212.85,196.0,"[153, 14, 47, 200, 103, 90, 44, 116, 95, 83, 148, 36]"
13,11,175.86,194.0,"[100, 37, 173, 112, 160, 109, 189, 125, 128, 33, 66]"
14,12,177.6,200.0,"[49, 132, 162, 63, 149, 186, 135, 185, 2, 34, 76, 97]"
15,12,123.82,200.0,"[142, 24, 131, 156, 102, 196, 184, 183, 179, 7, 110, 178]"
16,13,195.23,188.0,"[163, 28, 6, 171, 130, 187, 150, 78, 79, 73, 93, 146, 39]"
17,11,273.13,193.0,"[88, 71, 144, 123, 137, 13, 8, 1, 60, 75, 175]"
18,12,193.95,200.0,"[172, 5, 62, 26, 159, 46, 138, 20, 170, 19, 193, 120]"
