Route_ID,Num_Customers,Travel_Distance,Max_Capacity_Used,Customer_Sequence
1,9,100.86958,184.0,"[88, 60, 78, 73, 79, 7, 6, 2, 55]"
2,10,102.54543,200.0,"[42, 44, 43, 38, 37, 35, 36, 40, 39, 41]"
3,9,133.04216,148.0,"[85, 63, 89, 76, 84, 51, 64, 83, 66]"
4,10,108.90051,200.0,"[22, 20, 49, 19, 23, 48, 18, 21, 25, 24]"
5,13,107.44823,163.0,"[80, 91, 56, 95, 62, 67, 94, 93, 71, 72, 54, 96, 81]"
6,11,102.26595,176.0,"[61, 70, 1, 3, 5, 45, 8, 46, 4, 100, 68]"
7,11,125.64249,194.0,"[14, 47, 15, 11, 9, 87, 59, 74, 86, 57, 52]"
8,9,92.7137,150.0,"[69, 98, 53, 12, 17, 16, 13, 10, 82]"
9,11,127.60087,194.0,"[92, 50, 33, 32, 30, 28, 26, 27, 29, 31, 34]"
10,7,134.4501,115.0,"[90, 65, 99, 97, 75, 58, 77]"
