problem_name,vehicle_number,vehicle_capacity,total_customers,total_demand,depot_x,depot_y,duration
C1_6_1,150,200,600,11020,150,150,1588
C1_6_10,150,200,600,11020,150,150,1606
C1_6_2,150,200,600,11020,150,150,1646
C1_6_3,150,200,600,11020,150,150,1602
C1_6_4,150,200,600,11020,150,150,1606
C1_6_5,150,200,600,11020,150,150,1588
C1_6_6,150,200,600,11020,150,150,1566
C1_6_7,150,200,600,11020,150,150,1602
C1_6_8,150,200,600,11020,150,150,1606
C1_6_9,150,200,600,11020,150,150,1624
C2_6_1,150,700,600,11540,150,150,3962
C2_6_10,150,700,600,11540,150,150,3946
C2_6_2,150,700,600,11540,150,150,3998
C2_6_3,150,700,600,11540,150,150,3952
C2_6_4,150,700,600,11540,150,150,3962
C2_6_5,150,700,600,11540,150,150,3962
C2_6_6,150,700,600,11540,150,150,3962
C2_6_7,150,700,600,11540,150,150,3962
C2_6_8,150,700,600,11540,150,150,3962
C2_6_9,150,700,600,11540,150,150,3962
R1_6_1,150,200,600,10737,150,150,1244
R1_6_10,150,200,600,10737,150,150,1189
R1_6_2,150,200,600,10737,150,150,1248
R1_6_3,150,200,600,10737,150,150,1256
R1_6_4,150,200,600,10737,150,150,1214
R1_6_5,150,200,600,10737,150,150,1233
R1_6_6,150,200,600,10737,150,150,1228
R1_6_7,150,200,600,10737,150,150,1273
R1_6_8,150,200,600,10737,150,150,1200
R1_6_9,150,200,600,10737,150,150,1217
R2_6_1,150,1000,600,10737,150,150,4661
R2_6_10,150,1000,600,10737,150,150,4496
R2_6_2,150,1000,600,10737,150,150,4684
R2_6_3,150,1000,600,10737,150,150,4667
R2_6_4,150,1000,600,10737,150,150,4667
R2_6_5,150,1000,600,10737,150,150,4565
R2_6_6,150,1000,600,10737,150,150,4575
R2_6_7,150,1000,600,10737,150,150,4581
R2_6_8,150,1000,600,10737,150,150,4571
R2_6_9,150,1000,600,10737,150,150,4415
RC1_6_1,150,200,600,10880,150,150,1246
RC1_6_10,150,200,600,10880,150,150,1136
RC1_6_2,150,200,600,10880,150,150,1263
RC1_6_3,150,200,600,10880,150,150,1243
RC1_6_4,150,200,600,10880,150,150,1263
RC1_6_5,150,200,600,10880,150,150,1203
RC1_6_6,150,200,600,10880,150,150,1218
RC1_6_7,150,200,600,10880,150,150,1197
RC1_6_8,150,200,600,10880,150,150,1171
RC1_6_9,150,200,600,10880,150,150,1155
RC2_6_1,150,1000,600,10880,150,150,4631
RC2_6_10,150,1000,600,10880,150,150,4239
RC2_6_2,150,1000,600,10880,150,150,4631
RC2_6_3,150,1000,600,10880,150,150,4641
RC2_6_4,150,1000,600,10880,150,150,4641
RC2_6_5,150,1000,600,10880,150,150,4409
RC2_6_6,150,1000,600,10880,150,150,4598
RC2_6_7,150,1000,600,10880,150,150,4348
RC2_6_8,150,1000,600,10880,150,150,4303
RC2_6_9,150,1000,600,10880,150,150,4386
