cust_no,xcoord,ycoord,demand,ready_time,due_date,service_time
1,133,187,16,4310,4858,10
2,277,41,14,1399,1586,10
3,284,244,12,2954,3380,10
4,38,139,12,1329,1568,10
5,117,178,19,3074,3497,10
6,241,298,27,1855,2125,10
7,76,221,24,2889,3269,10
8,175,251,8,2936,3454,10
9,45,115,13,895,1018,10
10,216,203,5,2189,2555,10
11,178,263,18,3062,3516,10
12,51,2,41,872,1099,10
13,274,6,41,2109,2363,10
14,232,121,15,2287,2755,10
15,110,83,22,826,952,10
16,275,263,33,673,871,10
17,114,211,10,1758,2069,10
18,61,84,7,1374,1611,10
19,80,35,31,2068,2473,10
20,298,135,7,3603,4149,10
21,60,72,2,716,848,10
22,75,127,37,2088,2405,10
23,102,173,15,171,273,10
24,276,28,9,1082,1253,10
25,165,179,19,3362,3726,10
26,289,143,23,563,680,10
27,69,134,46,2528,2931,10
28,61,138,9,2606,3000,10
29,283,144,6,483,612,10
30,97,232,11,3730,4250,10
31,120,241,20,2418,2786,10
32,173,64,12,2280,2657,10
33,176,263,5,2408,2792,10
34,117,168,14,49,233,10
35,184,102,29,4204,4741,10
36,157,221,10,1636,1956,10
37,108,3,16,2716,3101,10
38,29,8,24,3028,3453,10
39,136,241,11,1547,1729,10
40,16,42,17,1014,1268,10
41,183,282,42,1778,2007,10
42,154,299,17,2364,2643,10
43,136,68,19,2411,2764,10
44,230,80,26,3316,3756,10
45,151,172,2,3005,3420,10
46,136,50,16,1006,1211,10
47,8,200,21,2735,3169,10
48,72,20,32,2724,3217,10
49,57,125,23,847,1026,10
50,208,47,6,395,617,10
51,262,14,21,2778,3215,10
52,139,250,17,2546,2862,10
53,220,18,38,2480,2894,10
54,191,234,9,213,504,10
55,111,40,22,3417,4005,10
56,227,5,13,1481,1737,10
57,265,141,22,429,518,10
58,272,211,8,1471,1679,10
59,56,116,22,934,1085,10
60,170,93,39,1880,2244,10
61,120,155,24,3541,4060,10
62,3,119,8,2766,3212,10
63,208,290,16,1204,1479,10
64,285,283,22,2201,2571,10
65,290,37,1,3286,3712,10
66,180,106,19,138,296,10
67,29,139,25,498,630,10
68,37,159,7,432,616,10
69,201,175,10,2796,3132,10
70,128,155,11,23,184,10
71,94,93,19,3667,4214,10
72,3,135,7,2695,3121,10
73,279,36,29,2755,3213,10
74,46,155,18,3051,3477,10
75,15,178,9,3111,3549,10
76,15,219,19,550,713,10
77,275,146,14,2568,3053,10
78,268,113,22,3355,3883,10
79,207,149,22,1416,1674,10
80,179,123,4,63,266,10
81,103,8,16,2737,3166,10
82,176,235,33,253,499,10
83,253,84,11,1631,1940,10
84,51,217,36,1051,1337,10
85,114,259,5,3250,3733,10
86,212,45,30,2521,2909,10
87,276,66,17,561,739,10
88,243,136,46,992,1263,10
89,160,17,24,1350,1640,10
90,183,80,13,276,474,10
91,177,281,16,1695,1966,10
92,123,76,2,1180,1469,10
93,80,86,32,2381,2860,10
94,299,153,12,1666,1937,10
95,40,236,11,2992,3448,10
96,38,74,16,594,803,10
97,289,130,27,1310,1587,10
98,147,152,14,0,102,10
99,243,191,16,338,463,10
100,9,239,20,1259,1517,10
101,238,103,16,2914,3284,10
102,236,108,16,3549,4031,10
103,189,197,17,1901,2244,10
104,64,91,29,384,591,10
105,159,266,2,3608,3992,10
106,281,68,23,2051,2375,10
107,78,246,27,1312,1550,10
108,211,239,20,2338,2723,10
109,7,31,29,3189,3651,10
110,140,18,26,1582,1878,10
111,69,208,17,2355,2694,10
112,105,252,25,308,550,10
113,99,105,4,1037,1150,10
114,166,123,14,27,229,10
115,139,146,34,0,112,10
116,261,232,12,2014,2294,10
117,92,241,3,3018,3556,10
118,107,174,21,135,278,10
119,173,148,9,3998,4538,10
120,72,286,17,1574,1922,10
121,236,27,21,1503,1727,10
122,106,243,22,757,907,10
123,63,170,19,1100,1241,10
124,136,228,2,1412,1732,10
125,246,166,18,2224,2514,10
126,102,81,12,308,400,10
127,271,105,42,2458,2915,10
128,93,117,15,1408,1677,10
129,227,192,15,1246,1515,10
130,262,80,17,874,1097,10
131,205,44,9,606,673,10
132,278,178,17,2765,3162,10
133,17,0,11,2325,2693,10
134,116,14,20,2640,3055,10
135,119,254,42,3220,3754,10
136,107,281,16,461,678,10
137,86,216,25,833,1038,10
138,189,201,21,3895,4523,10
139,263,291,2,753,968,10
140,11,191,12,2899,3328,10
141,192,150,6,58,249,10
142,131,222,21,647,725,10
143,108,80,1,1896,2246,10
144,259,187,35,399,536,10
145,297,43,13,2897,3304,10
146,112,43,42,2201,2621,10
147,182,146,3,3233,3691,10
148,205,130,30,3740,4290,10
149,289,209,23,2823,3185,10
150,157,254,8,2063,2355,10
151,291,148,11,2563,2938,10
152,201,122,29,2889,3303,10
153,244,13,10,2940,3310,10
154,162,148,25,3007,3435,10
155,20,245,28,945,1180,10
156,60,287,15,3962,4441,10
157,213,119,25,2932,3319,10
158,234,146,38,1389,1724,10
159,231,28,21,3446,3901,10
160,288,127,23,2870,3303,10
161,82,35,12,463,645,10
162,159,300,15,538,720,10
163,296,252,18,3180,3590,10
164,207,20,13,738,941,10
165,122,96,19,569,763,10
166,133,153,32,19,104,10
167,54,136,9,1012,1180,10
168,28,141,25,2594,3030,10
169,208,208,16,426,605,10
170,2,81,32,1093,1292,10
171,8,4,29,796,929,10
172,30,145,23,3406,3894,10
173,186,26,25,2283,2615,10
174,83,77,18,1703,2060,10
175,203,283,6,2973,3347,10
176,129,83,15,2485,2903,10
177,172,198,29,3329,3760,10
178,157,12,11,675,839,10
179,52,109,30,363,533,10
180,237,171,17,1613,1856,10
181,126,42,23,900,1112,10
182,24,261,8,2002,2374,10
183,250,49,11,1886,2284,10
184,40,1,38,1855,2094,10
185,96,86,12,271,407,10
186,223,198,24,1850,2185,10
187,188,198,8,2715,3067,10
188,107,291,17,2186,2512,10
189,181,277,15,1211,1328,10
190,239,295,11,3013,3389,10
191,229,40,13,958,1169,10
192,198,159,23,3135,3546,10
193,297,213,21,2740,3270,10
194,220,43,28,1756,2020,10
195,295,123,29,3049,3587,10
196,57,192,33,2772,3116,10
197,36,212,4,529,632,10
198,45,74,9,1582,1886,10
199,117,155,22,4060,4564,10
200,168,42,26,2557,2961,10
201,296,235,25,2222,2622,10
202,116,245,37,2336,2664,10
203,254,206,29,2515,2861,10
204,241,183,12,3349,3907,10
205,118,38,27,861,1061,10
206,51,63,6,527,687,10
207,44,189,13,422,515,10
208,183,43,14,2425,2826,10
209,141,120,21,38,209,10
210,37,126,19,642,750,10
211,290,219,19,751,954,10
212,224,138,16,3646,4237,10
213,25,64,10,2502,2883,10
214,194,11,14,1311,1576,10
215,100,138,24,808,1002,10
216,88,49,21,703,843,10
217,57,127,20,1375,1608,10
218,25,191,16,918,1129,10
219,217,43,5,2108,2438,10
220,96,96,33,2047,2347,10
221,135,139,12,20,196,10
222,41,279,11,1653,1915,10
223,217,138,5,2779,3146,10
224,18,196,8,1746,1970,10
225,30,149,4,1582,1782,10
